domain,project,BEASS2_ID
technology,m2e,412436
technology,m2e,385557
technology,m2e,479245
technology,m2e,343835
technology,m2e,428792
technology,m2e,355102
technology,m2e,482590
technology,m2e,359200
technology,m2e,474657
technology,m2e,341026
technology,m2e,335139
technology,m2e,489755
technology,m2e,379686
technology,m2e,466470
technology,m2e,376616
technology,m2e,352809
technology,m2e,347948
technology,m2e,493871
technology,m2e,496944
technology,m2e,351538
technology,m2e,416050
technology,m2e,391731
technology,m2e,351800
technology,m2e,422713
technology,m2e,461881
technology,m2e,387384
technology,m2e,507195
technology,m2e,459837
technology,m2e,492350
technology,m2e,371775
technology,m2e,479296
technology,m2e,384065
technology,m2e,486721
technology,m2e,351556
technology,m2e,241480
technology,m2e,410954
technology,m2e,336715
technology,m2e,424010
technology,m2e,369742
technology,m2e,463950
technology,m2e,441165
technology,m2e,368722
technology,m2e,426317
technology,m2e,467029
technology,m2e,466518
technology,m2e,426329
technology,m2e,494937
technology,m2e,361565
technology,m2e,361824
technology,m2e,331105
technology,m2e,473953
technology,m2e,383075
technology,m2e,445027
technology,m2e,344677
technology,m2e,344934
technology,m2e,368230
technology,m2e,335720
technology,m2e,335721
technology,m2e,333152
technology,m2e,337003
technology,m2e,502115
technology,m2e,435816
technology,m2e,339824
technology,m2e,340081
technology,m2e,344689
technology,m2e,342128
technology,m2e,338804
technology,m2e,388981
technology,m2e,348791
technology,m2e,408955
technology,m2e,343165
technology,m2e,358781
technology,m2e,460157
technology,m2e,350081
technology,m2e,481153
technology,m2e,368003
technology,m2e,418180
technology,m2e,379012
technology,m2e,481152
technology,m2e,452228
technology,m2e,339082
technology,m2e,350091
technology,m2e,361099
technology,m2e,393613
technology,m2e,367758
technology,m2e,363151
technology,m2e,385422
technology,m2e,349586
technology,m2e,350357
technology,m2e,413589
technology,m2e,365721
technology,m2e,371097
technology,m2e,357531
technology,m2e,369307
technology,m2e,344990
technology,m2e,353950
technology,m2e,362400
technology,m2e,435616
technology,m2e,371618
technology,m2e,384420
technology,m2e,344997
technology,m2e,481445
technology,m2e,409515
technology,m2e,359340
technology,m2e,364205
technology,m2e,395697
technology,m2e,351156
technology,m2e,430772
technology,m2e,443317
technology,m2e,351159
technology,m2e,441528
technology,m2e,352953
technology,m2e,431546
technology,m2e,353979
technology,m2e,335036
technology,m2e,356796
technology,m2e,355774
technology,m2e,377534
technology,m2e,459453
technology,m2e,368059
technology,m2e,352962
