component,0,1,2,3,4,total
phpfunctionsview,46,3,1,1,0,51
phpmanual,72,5,3,2,0,82
phpmodeling,111,9,1,1,1,123
phpsearch,94,13,2,1,0,110
picturecontrol,4,0,0,0,0,4
pipelets,7,2,0,0,0,9
platform,211,29,2,3,0,245
platforms,63,21,0,0,0,84
pldt,49,8,0,0,0,57
plexus,22,7,1,1,0,31
plugin,49,4,0,1,0,54
plugins,268,62,12,1,1,344
pmc,39,2,0,4,0,45
poiextension,11,0,0,0,0,11
preferencesmanagement,32,14,2,0,0,48
presence,18,0,0,0,0,18
privacy,63,16,0,0,0,79
problemsview,120,12,1,0,0,133
problemsview&amp;errormarkers,25,1,0,3,0,29
processing,40,4,2,1,0,47
project,48,5,0,0,2,55
projectbuilder,61,4,5,1,4,75
projectconfiguration,44,19,0,0,0,63
projectmanagement,20,0,0,0,0,20
properties,96,16,7,1,1,121
pror,274,55,18,5,4,356
protocols,68,5,4,2,1,80
prototype,142,9,4,0,1,156
providers,538,70,12,6,2,628
proxy,23,1,1,0,0,25
pshelf,10,2,0,0,0,12
pulsar,9,1,1,0,0,11
python,20,10,2,0,0,32
qa,4,0,0,0,0,4
qt,11,0,1,0,0,12
query,847,132,29,10,8,1026
query2,84,4,0,0,0,88
querylanguage,201,8,0,0,0,209
radiogroup,11,1,0,0,0,12
rc,1277,160,87,8,1,1533
rc&amp;webdemonstrator,2,0,0,0,0,2
rcp,97,8,5,3,0,113
rdbms,1,0,1,0,0,2
rdt,663,90,15,4,1,773
recorder/generator,42,0,2,5,2,51
refactoring,130,25,6,7,0,168
refactoringengine,60,31,6,2,0,99
relational,2,1,0,0,0,3
releaseengineer,147,5,0,0,1,153
releaseengineering,57,5,3,3,2,70
releng,5952,964,248,79,31,7274
releng/management,11,2,1,1,0,15
remote,47,8,2,1,0,58
remoterepositories,10,1,0,0,0,11
remoteserviceadmin,98,6,1,0,0,105
remoteservices,231,21,1,0,0,253
remotetools,162,31,5,0,1,199
report,784,183,26,3,0,996
reportdesigner,3348,470,57,13,0,3888
reportengine,2436,490,71,4,0,3001
reporting,25,0,0,0,0,25
reportviewer,1088,187,26,9,0,1310
repository,11,3,0,0,0,14
resources,5282,629,140,36,10,6097
revisiongraph,64,1,0,0,0,65
rhino,2,2,0,0,0,4
richtext,28,2,1,0,0,31
ridget,137,25,4,3,0,169
rio,90,5,0,2,0,97
rm,296,36,11,2,0,345
robotml,28,2,1,0,0,31
rse,4,0,0,0,0,4
rta,5,3,0,0,0,8
ruby,238,92,9,0,0,339
runtime,5104,463,92,33,6,5698
rwt,4126,678,215,99,46,5164
samples,32,9,2,0,0,43
sandbox,6,0,0,1,0,7
sbvr,3,1,0,0,0,4
scandium,15,0,0,0,0,15
sci,10,0,0,0,0,10
scout,1500,132,30,4,1,1667
scoutdocs,25,2,1,0,0,28
scoutsdk,352,33,12,8,0,405
scripting,140,5,1,0,0,146
scriptingsupport,2,0,0,0,0,2
scripts,40,1,2,0,1,44
sdk,31,8,0,0,1,40
sdkmanagement,51,4,3,4,3,65
sdo,282,28,4,0,0,314
search,1570,199,54,27,16,1866
searchframework,30,0,2,0,1,33
security,241,28,7,1,2,279
securitymanagement,3,0,0,0,0,3
server,2250,221,40,20,4,2535
servercore,105,12,3,1,0,121
service,17,2,2,0,0,21
servicemodel,13,1,0,0,0,14
services,6,1,0,0,0,7
setup,997,203,69,49,18,1336
shelled,4,0,0,0,0,4
side,86,21,2,3,1,113
signing,119,12,3,2,0,136
simdebug,30,5,0,0,0,35
simulation,20,0,0,0,0,20
site,15,3,0,1,1,20
smells,0,1,0,0,0,1
snaps,16,4,1,0,0,21
snipmatch,236,31,4,2,0,273
spdy,53,4,0,0,0,57
sshslaves,2,0,0,0,0,2
standalone,24,1,1,0,0,26
start,62,9,0,0,0,71
statesystem,7,1,0,0,0,8
storage,29,4,1,0,0,34
stw,0,2,0,0,0,2
svn,8,6,0,0,0,14
swing,209,23,5,3,1,241
swt,11027,2262,474,126,25,13914
swt/jface,2,1,0,0,0,3
swtbot,528,64,31,28,6,657
sync,185,22,5,1,5,218
sys,6,1,0,0,0,7
sysml,313,72,45,18,7,455
table,284,46,22,7,5,364
tablecombo,26,0,1,0,0,27
target,258,22,6,2,3,291
targets,83,15,5,1,0,104
targlets,74,12,5,3,0,94
tasks,2062,440,183,38,10,2733
tcl,63,28,2,0,0,93
team,5781,1235,174,29,1,7220
technologies,126,75,21,5,1,228
templates,212,25,9,2,0,248
teneo,352,59,9,5,0,425
test,81,11,1,1,0,94
testharness,8,1,0,0,0,9
testing,2,1,0,0,0,3
tests,22,3,0,0,0,25
testsuite,203,26,7,4,0,240
texo,295,15,1,0,0,311
text,9305,1779,491,200,43,11818
timeserieschart,3,1,0,0,0,4
tmf,267,11,0,41,16,335
tool,670,178,8,4,0,860
toolbox,6,2,0,0,0,8
tooling,461,68,14,2,0,545
tools,1988,317,92,23,15,2435
toolset,57,15,5,2,0,79
toolsmiths,20,8,0,0,0,28
trac,466,67,16,1,0,550
transaction,328,34,25,23,19,429
transformation,75,1,0,1,0,77
transformations,42,10,0,1,0,53
translations,124,13,1,2,1,141
tree,25,12,0,0,0,37
treemapper,7,0,1,0,0,8
twitterhub,50,2,0,0,0,52
tycho,10,0,0,1,0,11
ua,89,13,0,1,0,103
ucum,2,2,0,0,0,4
ui,57750,9049,1958,666,166,69589
units,26,3,3,3,0,35
unknown,699,86,54,10,1,850
updater,145,7,1,1,0,154
updatesite,179,7,1,1,1,189
usagedatacollector,142,6,13,0,0,161
usecases,9,7,2,1,0,19
user,12,2,0,0,0,14
userassistance,4296,560,104,20,7,4987
userinterface,298,12,6,6,0,322
usert&gt;equinox&gt;p2),4388,431,98,26,9,4952
util,26,1,0,0,0,27
utilities,66,17,5,2,0,90
utils,54,16,5,2,0,77
validation,245,9,16,16,15,301
validationruntimeextensions,8,4,0,0,0,12
versionmanagement,15,4,0,0,0,19
views,336,25,43,37,29,470
visualization,283,8,1,1,0,293
vortorepository,30,2,0,0,0,32
vpm(archive),62,0,18,2,0,82
wam,0,1,0,0,0,1
warproducts,132,13,20,2,0,167
we,362,89,16,2,0,469
weaving,25,11,2,0,0,38
web,195,30,8,1,0,234
webclient,2,0,0,0,0,2
webdav,184,17,2,0,2,205
webpage,6,1,0,0,0,7
webportal,155,9,0,1,0,165
website,1461,183,34,17,3,1698
website/doc,0,1,0,0,0,1
website/wiki,29,3,2,0,0,34
websocket,234,18,4,1,0,257
wiki,20,6,0,0,0,26
windows,2,3,0,0,0,5
wizard,495,25,19,13,1,553
wizards,2,0,0,1,0,3
workbench,598,78,50,19,5,750
workspace,5,9,1,0,0,15
wtp,32,3,0,0,0,35
www,19,3,0,0,0,22
xcore,546,27,0,1,0,574
xml,71,16,8,1,0,96
xml/xmi,393,61,9,3,0,466
xotcl,8,6,0,0,0,14
xpand,514,84,13,7,1,619
xplanner,60,12,2,1,0,75
xsd,6,0,0,0,0,6
xtext,5553,931,144,42,12,6682
xtextbacklog,98,41,30,3,2,174
xtexterrors,196,16,1,0,0,213
xviewer,72,8,0,0,0,80
xwt,26,1,1,0,0,28
yearlyrelease,87,8,17,2,0,114
zest,287,15,8,0,1,311
