component,os,priority,hardware,version,component,severity,assignee,product,status,total
keyboardlayouts,1,0,1,1,6,0,0,0,0,19
iplogtool,0,2,0,0,1,1,0,0,0,63
engine,11,16,8,16,9,24,0,3,0,1429
client,33,24,13,151,352,127,0,332,0,4743
jetty,0,1,0,3,4,7,0,0,0,28
compiler,26,321,4,81,56,200,0,45,0,3324
reporting,0,0,0,0,0,0,0,0,0,25
views,95,1,97,49,61,33,0,0,0,470
ecf.remoteserviceadmin,0,0,0,2,1,4,0,0,0,105
misc,1,0,1,1,6,1,0,1,0,102
projectmanagement,0,0,0,0,0,0,0,0,0,20
crossissues,0,0,0,1,0,5,0,0,0,48
eworkbench,1,1,1,1,0,2,0,0,0,39
informationunits,0,0,0,0,0,0,0,0,0,18
mobile,3,0,0,1,14,3,0,0,0,420
monitor,3,73,0,7,5,19,0,1,0,331
emfatic,0,0,0,0,0,0,0,0,0,23
otequinox,1,1,0,1,0,0,0,0,0,15
pgroup,0,0,0,0,0,1,0,0,0,6
rm.pe,1,0,0,1,1,0,0,0,0,25
searchframework,1,2,2,0,0,3,0,0,0,33
versionmanagement,0,0,0,4,0,0,0,0,0,19
ajbrowser,0,3,0,0,0,1,0,0,0,37
setup,6,6,9,294,76,94,0,48,0,1336
inject,0,2,0,10,0,2,0,0,0,49
gefbot,1,0,1,3,5,0,0,0,0,22
cdt-debug,26,31,6,108,49,68,0,13,0,2006
emfdatabinding,0,0,0,1,0,0,0,0,0,5
agf,1,0,1,0,0,1,0,0,0,5
otdt,0,2,0,10,0,3,0,0,0,85
soa-package,0,0,0,1,0,0,0,0,0,3
addons,0,0,0,1,0,0,0,0,0,7
simulation,0,0,0,0,0,0,0,0,0,20
cdt-debug-dsf-gdb,16,5,0,66,37,42,0,25,0,672
desktopintegration,0,0,0,0,0,0,0,0,0,4
navigator&amp;editorsockets,4,3,3,1,3,3,0,0,0,38
utilities,0,1,0,20,2,8,0,0,0,90
tmf,1,0,0,59,57,20,0,57,0,335
nebulaextension,0,0,0,0,0,0,0,0,0,5
xpand,4,30,3,26,10,40,0,9,0,619
navigation,0,5,0,3,1,8,0,0,0,146
photran.problemsview&amp;errormarkers,1,0,0,3,3,0,0,3,0,29
translations,2,2,1,4,4,4,0,2,0,141
rio,2,0,2,3,0,3,0,0,0,97
model,0,2,0,1,3,2,0,0,0,211
text,370,603,290,241,261,822,0,122,0,11818
texo,0,0,0,1,1,5,0,1,0,311
datechooser,3,0,2,1,1,2,0,1,0,26
validation,0,13,0,33,46,4,0,45,0,301
tasks,23,512,9,32,78,233,0,2,0,2733
python,0,0,0,12,0,2,0,0,0,32
mapping,0,0,0,4,2,3,0,2,0,80
ltweaving,1,26,0,17,5,24,0,1,0,458
jee-package,3,3,3,11,3,5,0,3,0,171
templates,0,6,0,9,3,4,0,1,0,161
testing,0,0,0,0,1,0,0,0,0,3
forte,1,0,1,5,2,1,0,0,0,116
cdt-other,5,23,3,45,145,22,0,2,0,723
testing-package,0,0,0,1,1,0,0,0,0,4
wtp,0,2,0,0,0,1,0,0,0,35
photran.parser,0,4,0,6,4,1,0,1,0,20
projectbuilder,6,3,5,3,9,2,0,0,0,75
orionhub,0,0,0,1,1,2,0,1,0,53
install,4,2,3,2,0,5,0,0,0,298
toolbox,0,1,0,0,0,1,0,0,0,8
doc,37,76,35,66,68,88,0,25,0,2605
gui,3,0,3,4,1,2,0,0,0,75
cdo.net4j.db,0,0,0,10,2,2,0,0,0,31
photran.forinternaluse,4,44,3,8,21,14,0,14,0,229
artifactrepository,2,1,1,0,1,4,0,1,0,41
actiontrackingsystem(ats),10,0,10,4,0,2,0,0,0,146
phpsearch,1,9,0,1,3,2,0,0,0,110
server,27,23,23,107,36,82,0,15,0,2520
other,5,4,5,19,44,15,0,0,0,567
metamodel,0,1,0,6,0,1,0,0,0,25
oscilloscope,0,0,0,1,1,0,0,0,0,13
usecases,0,10,0,1,1,2,0,0,0,19
cell,0,1,0,0,1,1,0,0,0,8
targets,3,5,3,0,1,3,0,0,0,104
toolsmiths,0,0,0,0,8,0,0,0,0,28
commandline,0,0,0,0,0,1,0,0,0,1
sshslaves,0,0,0,0,0,0,0,0,0,2
library,0,4,0,1,0,3,0,0,0,47
xwt,0,0,0,0,0,1,0,0,0,28
