component,os,priority,hardware,version,component,severity,assignee,product,status,total
poiextension,0,0,0,0,0,0,0,0,0,11
tools,62,135,54,34,48,121,0,4,0,2435
gem,0,0,0,0,0,0,0,0,0,4
unknown,5,2,4,24,48,44,0,45,0,742
pror,11,65,9,0,0,33,0,0,0,356
web,1,16,1,2,3,19,0,1,0,234
ridget,4,11,5,3,7,9,0,0,0,169
cdt-qt,1,0,1,0,0,0,0,0,0,12
bundlor,1,0,0,2,3,4,0,1,0,17
editor,33,177,15,107,89,121,0,15,0,3978
snaps,0,0,0,2,1,2,0,0,0,21
modelmutator,0,2,1,0,0,0,0,0,0,5
testsuite,4,2,4,8,6,20,0,0,0,240
browserbasedmodeler,0,0,0,3,1,7,0,0,0,81
demo&amp;examples,2,2,1,1,0,0,0,0,0,20
cdt-build-managed,7,0,3,38,27,19,0,2,0,334
org.eclipse.soa.mangrove.builder,0,0,0,0,0,1,0,0,0,1
transformation,0,0,0,2,1,0,0,1,0,77
javartsjgeneration,0,0,0,0,2,2,0,0,0,40
ide-workspace,0,6,0,1,0,4,0,0,0,15
help,1,1,1,5,2,3,0,2,0,71
site,1,1,1,3,0,3,0,0,0,20
xtext,61,46,58,367,63,500,0,8,0,6682
grid,2,35,0,1,1,7,0,1,0,309
snipmatch,3,4,1,14,4,16,0,0,0,273
cdo.core,18,67,14,484,209,89,0,0,0,2189
swt/jface,0,0,0,1,0,0,0,0,0,3
phpmodeling,0,7,0,2,2,1,0,0,0,123
maven-plugins,0,0,0,1,0,1,0,0,0,24
data,7,48,3,44,81,68,0,5,0,1184
maven3,1,0,0,0,0,3,0,0,0,16
wiki,0,0,0,0,4,0,0,0,0,24
spdy,0,0,0,2,0,1,0,0,0,57
maven2,0,0,0,0,0,1,0,0,0,4
emfforms,5,555,3,3,2,76,0,0,0,1985
ecl,0,0,0,1,0,0,0,0,0,19
repository-rdbms,0,1,0,1,0,0,0,0,0,2
codefolding,6,8,1,11,1,5,0,0,0,237
richtext,1,0,0,1,1,0,0,1,0,31
simdebug,0,0,0,0,0,2,0,0,0,35
objecttransaction,0,7,0,0,6,0,0,0,0,21
jira,4,93,0,8,22,71,0,1,0,938
sysml,12,1,12,58,31,59,0,0,0,455
development,4,0,0,0,2,1,0,0,0,9
marketplace,0,0,0,0,0,0,0,0,0,2
smells,0,0,0,0,1,0,0,0,0,1
maven,1,1,1,3,3,2,0,0,0,169
vpm(archive),0,0,0,2,20,0,0,20,0,82
tree,0,2,0,0,0,1,0,0,0,37
runtime,70,56,38,156,77,191,0,39,0,5698
internal-build,1,22,1,0,0,2,0,0,0,103
servicemodel,0,0,0,0,1,0,0,0,0,14
core,1211,1267,1072,1941,1175,2457,0,798,0,59521
targlets,0,0,0,19,4,3,0,3,0,94
backlog,1,1,1,19,74,33,0,17,0,236
xviewer,1,0,0,4,0,1,0,0,0,80
accservice,0,0,1,1,0,0,0,0,0,599
pldt,0,3,0,5,0,0,0,0,0,57
launcher,9,4,4,27,7,24,0,4,0,212
geffx,2,0,1,1,5,2,0,0,0,94
toolset,0,1,0,2,18,2,0,0,0,79
jface,25,13,15,25,12,10,0,0,0,333
handbook,0,1,0,0,0,0,0,0,0,13
debugui,3,1,3,3,0,1,0,0,0,104
gig,0,0,0,0,1,0,0,0,0,5
javareverser,0,0,0,0,1,0,0,0,0,3
diagrams,0,1,0,3,0,15,0,0,0,348
vortorepository,0,0,0,0,2,0,0,0,0,32
draw3d,0,1,0,0,1,1,0,0,0,68
plexus,0,1,0,4,6,0,0,0,0,31
jeteditor,0,0,0,1,0,2,0,0,0,23
mqtt-obj-c,0,0,0,0,0,0,0,0,0,0
platform,4,0,4,14,1,8,0,0,0,245
general,66,52,74,507,504,226,0,466,0,5515
security,3,3,3,8,10,14,0,3,0,279
git,7,18,5,42,57,45,0,42,0,867
camelintegration,0,0,0,1,0,0,0,0,0,5
incubator,7,47,7,25,54,47,0,25,0,1970
paginationcontrol,0,0,0,0,0,0,0,0,0,2
runtime-js-rhino,0,0,0,2,0,0,0,0,0,4
ruby-debug,0,1,0,17,1,1,0,0,0,90
jpa,36,1057,35,301,19,333,0,1,0,3976
dynamicworkingsets,0,0,0,7,1,1,0,1,0,42
mqtt-android,0,0,0,0,1,0,0,0,0,56
website/wiki,0,1,0,1,2,3,0,0,0,34
tcl,0,1,0,28,0,1,0,0,0,93
scripts,1,0,0,1,3,1,0,3,0,44
editors,8,1,9,5,2,5,0,0,0,243
ecf.core,8,29,10,28,5,22,0,1,0,651
englishstrings,0,1,0,0,0,1,0,0,0,38
debug,205,827,97,339,173,899,0,103,0,17338
java-package,6,5,5,7,1,6,0,0,0,134
cdt-editor,16,0,13,101,20,37,0,5,0,710
cdt-indexer,10,2,6,37,22,17,0,2,0,693
resources,56,155,40,114,104,240,0,76,0,6097
designer,2,0,2,3,9,2,0,0,0,264
statesystem,0,0,0,0,0,0,0,0,0,8
reqif-1.0,0,5,0,0,1,8,0,0,0,48
cdo.dawn,1,0,1,8,0,1,0,0,0,35
dbws,5,18,3,8,2,14,0,0,0,276
build,25,69,12,108,90,141,0,36,0,4179
mwe,3,1,2,14,3,21,0,3,0,189
user,1,0,0,0,0,0,0,0,0,14
providers,5,0,5,1,0,3,0,0,0,128
