component,0,1,2,3,4,total
securitymanagement,3,0,0,0,0,3
remotetools,162,31,5,0,1,199
oseeapplicationframework,150,15,12,5,3,185
rif-1.2,4,0,0,1,0,5
packagecontent,131,11,5,5,4,156
cdt-debug-dsf,789,67,8,85,51,1000
ide-scm-jgit,6,2,0,0,0,8
cdo.db,172,55,22,3,0,252
p2repositoryanalyzers,4,0,0,0,0,4
workbench,598,78,50,19,5,750
p2management,85,18,3,4,0,110
protocols,6,2,0,0,0,8
others,750,75,45,20,9,899
eclipsebot,151,14,7,7,2,181
photran.refactoringengine,60,31,6,2,0,99
test,20,8,0,0,0,28
cdo.legacy,24,12,2,1,0,39
patterns,75,1,0,0,0,76
ecf.doc,59,3,0,0,0,62
eclipsemodeler,35,8,1,0,0,44
ecf.datashare,10,0,0,0,0,10
ide-core,4,0,0,0,0,4
scout-package,14,1,0,0,0,15
tests,22,3,0,0,0,25
cdt-parser,1861,256,34,10,0,2161
cdt-codan,265,46,10,3,0,324
irms,14,4,0,1,0,19
ide-editor-ace,7,1,0,0,0,8
codegenerators,49,7,3,2,0,61
4diac-sys,6,1,0,0,0,7
runtime-ui,31,7,2,1,0,41
gefzest,101,16,0,0,0,117
browsertooling,47,18,0,0,0,65
xsd,6,0,0,0,0,6
ems,16,3,1,0,0,20
releaseengineer,147,5,0,0,1,153
content,560,135,45,31,4,775
desktop,31,4,3,0,0,38
refactoring,9,0,0,0,0,9
keyboardlayouts,13,4,1,0,1,19
iplogtool,61,1,0,1,0,63
engine,1299,110,14,6,0,1429
client,4129,245,244,117,8,4743
jetty,18,5,4,1,0,28
compiler,2774,354,137,49,10,3324
reporting,25,0,0,0,0,25
views,336,25,43,37,29,470
ecf.remoteserviceadmin,98,6,1,0,0,105
misc,92,8,0,1,1,102
projectmanagement,20,0,0,0,0,20
crossissues,42,6,0,0,0,48
eworkbench,35,2,1,0,1,39
informationunits,14,4,0,0,0,18
mobile,362,54,4,0,0,420
monitor,247,53,26,5,0,331
emfatic,21,2,0,0,0,23
otequinox,12,3,0,0,0,15
pgroup,5,1,0,0,0,6
rm.pe,22,3,0,0,0,25
searchframework,30,0,2,0,1,33
versionmanagement,15,4,0,0,0,19
ajbrowser,33,3,1,0,0,37
setup,997,203,69,49,18,1336
inject,38,9,1,1,0,49
gefbot,15,6,0,0,1,22
cdt-debug,1702,246,41,13,4,2006
emfdatabinding,4,1,0,0,0,5
agf,3,1,1,0,0,5
otdt,60,24,1,0,0,85
soa-package,2,1,0,0,0,3
addons,6,1,0,0,0,7
simulation,20,0,0,0,0,20
cdt-debug-dsf-gdb,519,118,11,8,16,672
desktopintegration,4,0,0,0,0,4
navigator&amp;editorsockets,31,2,2,2,1,38
utilities,66,17,5,2,0,90
tmf,267,11,0,41,16,335
nebulaextension,5,0,0,0,0,5
xpand,514,84,13,7,1,619
navigation,129,15,2,0,0,146
photran.problemsview&amp;errormarkers,25,1,0,3,0,29
translations,124,13,1,2,1,141
rio,90,5,0,2,0,97
model,201,9,1,0,0,211
text,9305,1779,491,200,43,11818
texo,295,15,1,0,0,311
datechooser,20,3,2,1,0,26
validation,245,9,16,16,15,301
tasks,2062,440,183,38,10,2733
python,20,10,2,0,0,32
mapping,70,7,1,1,1,80
ltweaving,396,44,15,3,0,458
jee-package,149,14,3,5,0,171
templates,141,13,5,2,0,161
testing,2,1,0,0,0,3
forte,103,12,1,0,0,116
cdt-other,547,126,26,20,4,723
testing-package,3,0,1,0,0,4
wtp,32,3,0,0,0,35
photran.parser,11,4,3,2,0,20
projectbuilder,61,4,5,1,4,75
orionhub,48,4,0,1,0,53
install,284,10,3,1,0,298
toolbox,6,2,0,0,0,8
doc,2234,261,74,29,7,2605
gui,64,7,3,1,0,75
cdo.net4j.db,18,12,1,0,0,31
photran.forinternaluse,164,38,14,8,5,229
artifactrepository,35,2,3,1,0,41
actiontrackingsystem(ats),131,5,7,3,0,146
phpsearch,94,13,2,1,0,110
server,2238,218,40,20,4,2520
other,485,67,12,2,1,567
metamodel,19,4,1,1,0,25
oscilloscope,10,3,0,0,0,13
usecases,9,7,2,1,0,19
cell,6,1,1,0,0,8
targets,83,15,5,1,0,104
toolsmiths,20,8,0,0,0,28
commandline,0,1,0,0,0,1
sshslaves,2,0,0,0,0,2
library,41,4,2,0,0,47
xwt,26,1,1,0,0,28
datasource-relational,2,1,0,0,0,3
userassistance,4296,560,104,20,7,4987
contenttranslation,15,0,0,0,0,15
http2,88,9,0,1,0,98
bidilayout,2,0,0,0,0,2
gefgraph,24,0,0,1,0,25
commandlinetools,4,1,0,0,0,5
table,284,46,22,7,5,364
deployment,109,8,6,0,1,124
xtexterrors,196,16,1,0,0,213
photran.managedmake,43,9,5,4,0,61
fastcgi,14,2,0,0,0,16
releaseengineering,57,5,3,3,2,70
composer,49,0,1,0,0,50
outlineviews,337,49,11,4,1,402
gef-legacydraw2d,810,86,39,9,2,946
gefcommon,13,1,1,0,0,15
mylyn,66,10,1,0,0,77
prototype,142,9,4,0,1,156
sdkmanagement,51,4,3,4,3,65
cdt-build,1459,249,27,7,3,1745
modeling-package,48,3,3,0,0,54
cdt-debug-cdi-gdb,171,106,12,4,1,294
framework,1861,239,49,11,5,2165
testharness,8,1,0,0,0,9
luadevelopmenttools,353,67,55,7,1,483
org.eclipse.soa.mangrove.core,2,0,0,0,0,2
report,784,183,26,3,0,996
bootstrapper,54,0,0,0,0,54
ecf.examples,116,7,1,2,0,126
signing,119,12,3,2,0,136
modelworkspace,50,14,1,0,0,65
sbvr,3,1,0,0,0,4
transaction,328,34,25,23,19,429
wizards,2,0,0,1,0,3
codeformatter,531,48,15,6,1,601
creverser,10,2,1,0,0,13
ecf.newsreader,18,4,0,0,0,22
am3,10,1,2,0,0,13
annotations,305,16,3,1,0,325
main,619,352,91,6,3,1071
m2xideintegration,13,1,2,1,2,19
platforms,63,21,0,0,0,84
importing,4,2,1,0,0,7
web-admin,70,11,3,1,0,85
ucum,2,2,0,0,0,4
databinding,20,5,0,0,0,25
cdt-releng,160,48,3,0,0,211
weaving,25,11,2,0,0,38
yearlyrelease,87,8,17,2,0,114
compendium,657,90,15,8,1,771
www,19,3,0,0,0,22
websocket,234,18,4,1,0,257
pdesupport,347,9,15,6,0,377
dsl-package,10,1,1,0,0,12
communication,57,4,1,0,0,62
problemsview,120,12,1,0,0,133
server-side,86,21,2,3,1,113
informationmodeling,10,3,2,2,0,17
tool,670,178,8,4,0,860
debugsdm,53,10,0,1,0,64
cdo.net4j,216,35,14,11,9,285
license,7,0,1,0,0,8
otmvn,3,0,1,0,0,4
ide-templates,71,12,4,0,0,87
pipelets,7,2,0,0,0,9
dse,115,13,0,0,0,128
clientui,97,10,2,2,0,111
cdt-gdb-standalone,24,1,1,0,0,26
amf,45,8,1,3,0,57
eupdate,26,1,0,0,0,27
dsl,32,2,0,0,0,34
integrations,77,5,1,2,0,85
virgo-build,66,14,2,0,0,82
cdatetime,114,12,3,1,0,130
errors,46,7,1,0,0,54
signing-service,17,2,2,0,0,21
lookandfeel,64,2,0,5,1,72
aml,0,2,0,0,0,2
ideintegration,15,3,0,2,1,21
p2,4591,577,117,28,7,5320
remoterepositories,10,1,0,0,0,11
storage,29,4,1,0,0,34
units,26,3,3,3,0,35
demo,255,25,5,4,3,292
scripting,140,5,1,0,0,146
extra,19,1,0,0,0,20
design,51,1,0,0,1,53
define,124,2,6,4,0,136
blam,2,1,0,0,0,3
lang,50,4,0,0,0,54
cdo.docs,21,3,4,0,0,28
ant,3204,605,109,23,3,3944
ajdoc,60,7,0,0,0,67
sandbox,6,0,0,1,0,7
xml/xmi,393,61,9,3,0,466
geomap,16,0,0,0,0,16
ruby,238,92,9,0,0,339
releng,5604,895,237,76,28,6840
buckminster,4,1,0,0,0,5
etfw,37,5,0,0,0,42
osgi,77,26,0,1,0,104
gefgeometry,30,0,0,0,0,30
webportal,155,9,0,1,0,165
ldp,127,2,2,0,0,131
updatesite,179,7,1,1,1,189
forms,19,1,2,1,1,24
properties,96,16,7,1,1,121
gef3d,10,0,0,0,0,10
pmc,39,2,0,4,0,45
ecf.protocols,62,3,4,2,1,72
standard-package,42,5,3,0,1,51
cdo.objy,25,7,1,0,0,33
dynamicpackagedelivery,46,1,1,1,1,50
co-evolution,13,2,0,0,0,15
qa,4,0,0,0,0,4
gefmvc,277,18,1,0,0,296
rm.pbs,30,4,0,0,0,34
contribution,88,21,4,0,0,113
java,379,44,23,1,1,448
docs,251,14,14,7,1,287
ctf,26,3,0,2,0,31
engines,62,6,3,1,1,73
utils,54,16,5,2,0,77
cdo.hibernate,102,25,4,8,0,139
commitsexplorer(retired),137,16,4,1,0,158
ecf.releng,136,8,5,1,2,152
pshelf,10,2,0,0,0,12
javascript-package,33,3,0,0,1,37
projectconfiguration,44,19,0,0,0,63
geminiintegration,0,1,0,0,0,1
models,4,9,0,0,0,13
github,40,5,4,1,0,50
plug-ins,115,8,0,0,0,123
reportengine,2436,490,71,4,0,3001
cdt-debug-cdi,189,90,9,0,0,288
apt,480,62,6,0,1,549
emftvm,81,12,1,0,0,94
edit,543,92,16,8,0,659
buildhelp,64,5,1,0,0,70
interpreter,24,0,0,0,0,24
javascript,50,17,1,1,0,69
ganttchart,73,5,0,1,0,79
gef-legacygef(mvc),1914,234,91,22,2,2263
livedoc,95,12,0,0,0,107
node,121,6,4,2,0,133
gef-legacyzest,182,7,10,10,0,209
rc,1277,160,87,8,1,1533
installer,169,30,2,1,0,202
glazedlistsextension,26,6,0,1,0,33
incubator.devicekit,23,3,2,0,0,28
datasource,4,2,1,0,0,7
stw,0,2,0,0,0,2
bundles,565,32,12,1,0,610
swtbot,528,64,31,28,6,657
emfvm,75,6,0,0,0,81
gefcloudio,7,2,0,0,0,9
generators,224,12,0,0,0,236
processing,40,4,2,1,0,47
rm,296,36,11,2,0,345
components,256,38,9,2,0,305
ecf.remoteservices,231,21,1,0,0,253
servlet-3.1,22,4,0,0,0,26
rse,4,0,0,0,0,4
xplanner,60,12,2,1,0,75
moka,42,4,1,0,1,48
dependencyvisualizer,7,1,0,0,0,8
servercore,105,12,3,1,0,121
preferencesmanagement,32,14,2,0,0,48
formattedtext,38,2,2,1,0,43
javascripttools,0,1,0,0,0,1
userinterface,298,12,6,6,0,322
escape,20,2,1,0,0,23
cross-project,48,5,0,0,2,55
ide-db,33,4,0,0,1,38
rta,5,3,0,0,0,8
ecf.presence,18,0,0,0,0,18
timeserieschart,3,1,0,0,0,4
codegen,2,0,0,0,0,2
gitflow,20,4,1,0,0,25
cvs,3338,532,89,20,4,3983
marte,4,2,0,1,0,7
languages,36,3,0,2,0,41
cdt-core,5502,1414,225,62,7,7210
svn,8,6,0,0,0,14
launch,62,8,2,0,0,72
team,5781,1235,174,29,1,7220
services,6,1,0,0,0,7
mtjprojects,76,13,2,0,0,91
microxml,27,5,0,0,0,32
runtime-java,4,0,0,0,0,4
diagram,1938,396,219,165,89,2807
rcp-package,60,2,2,3,2,69
plugin,49,4,0,1,0,54
pdebuild,2,0,0,0,0,2
scriptingsupport,2,0,0,0,0,2
codeassist,2729,246,78,17,2,3072
jdt,162,11,1,2,0,176
agfchart,4,1,0,0,0,5
chart,1561,317,35,7,1,1921
paperclips,2,0,0,0,0,2
rm.loadleveler,9,1,0,0,0,10
agent,958,80,21,3,0,1062
ecf.tooling,16,1,0,0,0,17
dataaccess,197,68,11,3,0,279
ctabletree,15,1,1,0,0,17
javageneration,8,2,0,0,0,10
navigator,64,9,4,0,0,77
photran.unknown,78,17,5,7,1,108
ua,89,13,0,1,0,103
graphiti,2,0,0,0,0,2
phpmanual,72,5,3,2,0,82
swt,11027,2262,474,126,25,13914
ui,57487,9006,1945,662,166,69266
ecf.test,61,3,1,1,0,66
jet,190,73,23,2,0,288
runtime-flow,6,3,1,0,0,10
parallel-package,12,0,2,0,0,14
tycho,10,0,0,1,0,11
photran.documentation,16,4,4,1,0,25
phpexplorer&amp;projectsmanagement,983,97,39,8,2,1129
jbpm5targetruntime,126,11,2,0,0,139
treemapper,7,0,1,0,0,8
query,847,132,29,10,8,1026
cdt-debug-edc,141,11,4,1,0,157
mozilla,241,26,2,0,0,269
ide,3413,468,102,40,10,4033
modules,285,17,8,11,6,327
org.eclipse.soa.mangrove.branches,15,0,0,2,0,17
ecf.providers,420,65,7,6,2,500
technologies,126,75,21,5,1,228
ecf.discovery,100,12,2,0,0,114
transformations,42,10,0,1,0,53
cdt-autotools,165,4,0,38,0,207
cdt-doc,247,20,8,2,0,277
automatederrorreportingclient(aeri),831,24,33,39,41,968
cdt-arduino,166,19,0,2,0,187
common-debug,35,6,2,2,0,45
cdt-memory,231,16,8,35,7,297
pulsar,9,1,1,0,0,11
php-package,52,2,0,2,0,56
webclient,2,0,0,0,0,2
cbip2repositoryaggregator,457,15,89,15,7,583
android,21,5,0,0,0,26
admin,6,1,0,1,0,8
privacy,63,16,0,0,0,79
cdo.net4j.ui,5,1,0,0,0,6
ide-editor-orion,17,1,1,0,0,19
apitools,1043,196,48,36,9,1332
rwt,4126,678,215,99,46,5164
we,362,89,16,2,0,469
docker,16,1,0,0,0,17
updater,145,7,1,1,0,154
android-package,2,0,0,1,0,3
nexusplugins,35,2,1,3,2,43
informationmeta-model,26,4,4,0,0,34
compositetable,82,12,2,1,1,98
common,1268,255,34,7,3,1567
repository-local,8,0,0,0,0,8
osgifacet,11,2,0,0,0,13
ejface,11,0,0,0,0,11
perf,2,0,0,0,0,2
xcore,546,27,0,1,0,574
applicationdevelopment,6,1,0,2,0,9
ecf.server,12,3,0,0,0,15
cpp-package,53,3,0,2,0,58
wam,0,1,0,0,0,1
disease,3,1,0,0,0,4
scoutdocs,25,2,1,0,0,28
start,62,9,0,0,0,71
rm.openmpi,4,0,0,0,0,4
windows,2,3,0,0,0,5
target,258,22,6,2,3,291
headless,30,2,0,0,0,32
cdo.ui,62,27,5,1,0,95
xtextbacklog,98,41,30,3,2,174
zest,287,15,8,0,1,311
compare&amp;mergeideintegration,8,0,0,0,0,8
infrastructure,539,159,53,8,2,761
ide-repository,2,1,0,0,0,3
m2mqtt,2,0,0,0,0,2
base,6,1,0,0,0,7
querylanguage,201,8,0,0,0,209
modeling,240,17,3,3,1,264
webdav,184,17,2,0,2,205
cdt-refactoring,121,25,6,7,0,159
repository,9,2,0,0,0,11
codesearch,16,1,2,1,0,20
axf,5,2,1,0,0,8
east-adl,3,0,1,0,0,4
launchers,13,2,0,0,0,15
cgeneration,11,2,1,0,0,14
connectivity,49,9,3,1,2,64
teneo,352,59,9,5,0,425
trac,466,67,16,1,0,550
update(deprecated-usert&gt;equinox&gt;p2),4388,431,98,26,9,4952
mqtt,29,3,4,1,0,37
electron,30,1,0,0,0,31
jgit,908,157,28,16,3,1112
converters,48,5,2,1,0,56
webpage,6,1,0,0,0,7
gallery,173,20,2,3,1,199
query2,84,4,0,0,0,88
dashboard,51,14,1,0,0,66
developerstatistics,59,6,0,1,0,66
metalua,18,4,2,1,0,25
eson,24,0,2,0,0,26
buildsystem,142,6,10,1,0,159
otj,53,13,0,0,0,66
rc&amp;webdemonstrator,2,0,0,0,0,2
ctree,2,0,0,0,0,2
scandium,15,0,0,0,0,15
samples,32,9,2,0,0,43
examples,157,18,1,2,0,178
ecf.filetransfer,148,13,1,3,0,165
runtime-js,12,0,1,0,0,13
radiogroup,11,1,0,0,0,12
phpfunctionsview,46,3,1,1,0,51
logging,19,3,0,1,1,24
backchannel,2,0,0,0,0,2
scoutsdk,352,33,12,8,0,405
drivers,3,6,0,0,0,9
californium,52,3,2,1,0,58
ecf.ui,165,8,6,2,0,181
tooling,445,67,14,2,0,528
internal,61,22,0,0,0,83
editorui,147,43,1,0,0,191
xotcl,8,6,0,0,0,14
bugzilla,2093,351,82,9,3,2538
reportviewer,1088,187,26,9,0,1310
jobmanagement,4,0,1,0,0,5
foundation,955,390,93,15,9,1462
poiextension,11,0,0,0,0,11
tools,1988,317,92,23,15,2435
gem,4,0,0,0,0,4
unknown,621,69,49,3,0,742
pror,274,55,18,5,4,356
web,195,30,8,1,0,234
ridget,137,25,4,3,0,169
cdt-qt,11,0,1,0,0,12
bundlor,8,8,0,1,0,17
editor,3458,405,86,23,6,3978
snaps,16,4,1,0,0,21
modelmutator,2,3,0,0,0,5
testsuite,203,26,7,4,0,240
browserbasedmodeler,69,11,1,0,0,81
demo&amp;examples,15,4,1,0,0,20
cdt-build-managed,245,74,12,3,0,334
org.eclipse.soa.mangrove.builder,0,1,0,0,0,1
transformation,75,1,0,1,0,77
javartsjgeneration,33,6,1,0,0,40
ide-workspace,5,9,1,0,0,15
help,62,3,5,1,0,71
site,15,3,0,1,1,20
xtext,5553,931,144,42,12,6682
grid,259,47,2,1,0,309
snipmatch,236,31,4,2,0,273
cdo.core,1598,340,170,64,17,2189
swt/jface,2,1,0,0,0,3
phpmodeling,111,9,1,1,1,123
maven-plugins,22,2,0,0,0,24
data,910,246,22,6,0,1184
maven3,12,4,0,0,0,16
wiki,18,6,0,0,0,24
spdy,53,4,0,0,0,57
maven2,3,1,0,0,0,4
emfforms,1421,475,85,4,0,1985
ecl,16,3,0,0,0,19
repository-rdbms,1,0,1,0,0,2
codefolding,208,19,9,1,0,237
richtext,28,2,1,0,0,31
simdebug,30,5,0,0,0,35
objecttransaction,13,3,5,0,0,21
jira,768,118,46,5,1,938
sysml,313,72,45,18,7,455
development,3,5,1,0,0,9
marketplace,2,0,0,0,0,2
smells,0,1,0,0,0,1
maven,154,12,2,1,0,169
vpm(archive),62,0,18,2,0,82
tree,25,12,0,0,0,37
runtime,5104,463,92,33,6,5698
internal-build,79,23,0,1,0,103
servicemodel,13,1,0,0,0,14
core,50050,6580,1860,816,215,59521
targlets,74,12,5,3,0,94
backlog,146,38,26,16,10,236
xviewer,72,8,0,0,0,80
accservice,596,2,1,0,0,599
pldt,49,8,0,0,0,57
launcher,147,52,8,4,1,212
geffx,84,9,0,1,0,94
toolset,57,15,5,2,0,79
jface,269,33,19,10,2,333
handbook,12,1,0,0,0,13
debugui,84,16,3,1,0,104
gig,4,1,0,0,0,5
javareverser,2,1,0,0,0,3
diagrams,313,30,4,1,0,348
vortorepository,30,2,0,0,0,32
draw3d,65,3,0,0,0,68
plexus,22,7,1,1,0,31
jeteditor,17,5,1,0,0,23
mqtt-obj-c,0,0,0,0,0,0
platform,211,29,2,3,0,245
general,4520,391,216,345,43,5515
security,241,28,7,1,2,279
git,724,91,29,18,5,867
camelintegration,4,1,0,0,0,5
incubator,1785,141,25,13,6,1970
paginationcontrol,2,0,0,0,0,2
runtime-js-rhino,2,2,0,0,0,4
ruby-debug,67,18,4,1,0,90
jpa,2526,1114,275,49,12,3976
dynamicworkingsets,34,4,3,1,0,42
mqtt-android,55,1,0,0,0,56
website/wiki,29,3,2,0,0,34
tcl,63,28,2,0,0,93
scripts,40,1,2,0,1,44
editors,222,11,7,2,1,243
ecf.core,565,71,9,3,3,651
englishstrings,36,1,1,0,0,38
debug,14104,2605,496,116,17,17338
java-package,118,7,3,3,3,134
cdt-editor,562,115,18,9,6,710
cdt-indexer,601,76,11,5,0,693
resources,5282,629,140,36,10,6097
designer,250,8,5,1,0,264
statesystem,7,1,0,0,0,8
reqif-1.0,34,13,1,0,0,48
cdo.dawn,26,8,0,1,0,35
dbws,236,27,12,1,0,276
build,3709,369,76,17,8,4179
mwe,155,22,8,3,1,189
user,12,2,0,0,0,14
providers,118,5,5,0,0,128
