component,value,os,priority,hardware,version,component,severity,assignee,product,status,total
projectmanagement,min,0,0,0,0,0,0,0,0,0,20
projectmanagement,max,0,0,0,0,0,0,0,0,0,20
crossissues,avg,0,0,0,0,0,0,0,0,0,48
crossissues,min,0,0,0,0,0,0,0,0,0,48
crossissues,max,0,0,0,0,0,0,0,0,0,48
eworkbench,avg,0,0,0,0,0,0,0,0,0,39
eworkbench,min,0,0,0,0,0,0,0,0,0,39
eworkbench,max,0,0,0,0,0,0,0,0,0,39
informationunits,avg,0,0,0,0,0,0,0,0,0,18
informationunits,min,0,0,0,0,0,0,0,0,0,18
informationunits,max,0,0,0,0,0,0,0,0,0,18
mobile,avg,0,0,0,0,0,0,0,0,0,420
mobile,min,0,0,0,0,0,0,0,0,0,420
mobile,max,0,0,0,0,0,0,0,0,0,420
monitor,avg,0,0,0,0,0,0,0,0,0,331
monitor,min,0,0,0,0,0,0,0,0,0,331
monitor,max,0,0,0,0,0,0,0,0,0,331
emfatic,avg,0,0,0,0,0,0,0,0,0,23
emfatic,min,0,0,0,0,0,0,0,0,0,23
emfatic,max,0,0,0,0,0,0,0,0,0,23
otequinox,avg,0,0,0,0,0,0,0,0,0,15
otequinox,min,0,0,0,0,0,0,0,0,0,15
otequinox,max,0,0,0,0,0,0,0,0,0,15
pgroup,avg,0,0,0,0,0,0,0,0,0,6
pgroup,min,0,0,0,0,0,0,0,0,0,6
pgroup,max,0,0,0,0,0,0,0,0,0,6
pe,avg,0,0,0,0,0,0,0,0,0,25
pe,min,0,0,0,0,0,0,0,0,0,25
pe,max,0,0,0,0,0,0,0,0,0,25
searchframework,avg,0,0,0,0,0,0,0,0,0,33
searchframework,min,0,0,0,0,0,0,0,0,0,33
searchframework,max,0,0,0,0,0,0,0,0,0,33
versionmanagement,avg,0,0,0,0,0,0,0,0,0,19
versionmanagement,min,0,0,0,0,0,0,0,0,0,19
versionmanagement,max,0,0,0,0,0,0,0,0,0,19
ajbrowser,avg,0,0,0,0,0,0,0,0,0,37
ajbrowser,min,0,0,0,0,0,0,0,0,0,37
ajbrowser,max,0,0,0,0,0,0,0,0,0,37
setup,avg,0,0,0,0,0,0,0,0,0,1336
setup,min,0,0,0,0,0,0,0,0,0,1336
setup,max,0,0,0,0,0,0,0,0,0,1336
inject,avg,0,0,0,0,0,0,0,0,0,49
inject,min,0,0,0,0,0,0,0,0,0,49
inject,max,0,0,0,0,0,0,0,0,0,49
gefbot,avg,0,0,0,0,0,0,0,0,0,22
gefbot,min,0,0,0,0,0,0,0,0,0,22
gefbot,max,0,0,0,0,0,0,0,0,0,22
debug,avg,0,0,0,0,0,0,0,0,0,2006
debug,min,0,0,0,0,0,0,0,0,0,2006
debug,max,0,0,0,0,0,0,0,0,0,2006
emfdatabinding,avg,0,0,0,0,0,0,0,0,0,5
emfdatabinding,min,0,0,0,0,0,0,0,0,0,5
emfdatabinding,max,0,0,0,0,0,0,0,0,0,5
agf,avg,0,0,0,0,0,0,0,0,0,5
agf,min,0,0,0,0,0,0,0,0,0,5
agf,max,0,0,0,0,0,0,0,0,0,5
otdt,avg,0,0,0,0,0,0,0,0,0,85
otdt,min,0,0,0,0,0,0,0,0,0,85
otdt,max,0,0,0,0,0,0,0,0,0,85
package,avg,0,0,0,0,0,0,0,0,0,3
package,min,0,0,0,0,0,0,0,0,0,3
package,max,0,0,0,0,0,0,0,0,0,3
addons,avg,0,0,0,0,0,0,0,0,0,7
