domain,project,field,1,2,3,4,total
technology,nebula,product,21,2,0,0,1118
technology,nebula,status,0,0,0,0,1118
foundation,drupal,os,0,0,0,0,0
foundation,drupal,priority,0,0,0,0,0
foundation,drupal,hardware,0,0,0,0,0
foundation,drupal,version,0,0,0,0,0
foundation,drupal,component,0,0,0,0,0
foundation,drupal,severity,0,0,0,0,0
foundation,drupal,assignee,0,0,0,0,0
foundation,drupal,product,0,0,0,0,0
foundation,drupal,status,0,0,0,0,0
technology,ease,os,60,0,0,0,454
technology,ease,priority,3,0,0,0,454
technology,ease,hardware,57,0,0,0,454
technology,ease,version,58,2,0,0,454
technology,ease,component,30,29,0,0,454
technology,ease,severity,25,0,0,0,454
technology,ease,assignee,27,1,1,0,454
technology,ease,product,50,0,0,0,454
technology,ease,status,0,0,0,0,454
technology,tigerstripe,os,1,0,0,0,1147
technology,tigerstripe,priority,21,2,0,0,1147
technology,tigerstripe,hardware,0,0,0,0,1147
technology,tigerstripe,version,6,0,0,0,1147
technology,tigerstripe,component,13,1,0,0,1147
technology,tigerstripe,severity,98,4,1,0,1147
technology,tigerstripe,assignee,194,22,1,1,1147
technology,tigerstripe,product,1,1,0,0,1147
technology,tigerstripe,status,0,0,0,0,1147
modeling,emfstore,os,46,0,0,0,528
modeling,emfstore,priority,62,5,1,0,528
modeling,emfstore,hardware,8,0,0,0,528
modeling,emfstore,version,14,1,0,0,528
modeling,emfstore,component,16,1,0,1,528
modeling,emfstore,severity,16,1,0,0,528
modeling,emfstore,assignee,192,17,1,2,528
modeling,emfstore,product,6,1,0,0,528
modeling,emfstore,status,0,0,0,0,528
rt,riena,os,39,1,0,0,998
rt,riena,priority,90,7,0,0,998
rt,riena,hardware,32,0,0,0,998
rt,riena,version,17,0,0,0,998
rt,riena,component,66,2,1,0,998
rt,riena,severity,49,2,0,0,998
rt,riena,assignee,343,27,4,0,998
rt,riena,product,6,0,0,0,998
rt,riena,status,0,0,0,0,998
technology,flux,os,2,0,0,0,61
technology,flux,priority,2,0,0,0,61
technology,flux,hardware,2,0,0,0,61
technology,flux,version,0,0,0,0,61
technology,flux,component,1,0,0,0,61
technology,flux,severity,2,0,0,0,61
technology,flux,assignee,32,0,0,0,61
technology,flux,product,0,0,0,0,61
technology,flux,status,0,0,0,0,61
science,texlipse,os,0,0,0,0,0
science,texlipse,priority,0,0,0,0,0
science,texlipse,hardware,0,0,0,0,0
science,texlipse,version,0,0,0,0,0
science,texlipse,component,0,0,0,0,0
science,texlipse,severity,0,0,0,0,0
science,texlipse,assignee,0,0,0,0,0
science,texlipse,product,0,0,0,0,0
science,texlipse,status,0,0,0,0,0
rt,yasson,os,0,0,0,0,0
rt,yasson,priority,0,0,0,0,0
rt,yasson,hardware,0,0,0,0,0
rt,yasson,version,0,0,0,0,0
rt,yasson,component,0,0,0,0,0
rt,yasson,severity,0,0,0,0,0
rt,yasson,assignee,0,0,0,0,0
rt,yasson,product,0,0,0,0,0
rt,yasson,status,0,0,0,0,0
modeling,pmf,os,0,0,0,0,31
modeling,pmf,priority,0,0,0,0,31
modeling,pmf,hardware,0,0,0,0,31
modeling,pmf,version,0,0,0,0,31
modeling,pmf,component,8,1,0,0,31
modeling,pmf,severity,0,0,0,0,31
modeling,pmf,assignee,7,3,1,0,31
modeling,pmf,product,0,0,0,0,31
