domain,project,value,os,priority,hardware,version,component,severity,assignee,product,status,total
modeling,etrice,max,0,501,0,273,33,1588,1067,0,0,541
mylyn,mylyndocsvex,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocsvex,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocsvex,max,0,0,0,0,0,0,0,0,0,0
iot,mihini,avg,0,58,0,0,0,22,32,0,0,121
iot,mihini,min,0,0,0,0,0,0,0,0,0,121
iot,mihini,max,0,173,0,0,0,63,135,0,0,121
technology,collections,avg,0,0,0,0,0,0,0,0,0,0
technology,collections,min,0,0,0,0,0,0,0,0,0,0
technology,collections,max,0,0,0,0,0,0,0,0,0,0
technology,cbi,avg,18,286,12,307,1313,194,833,1487,0,613
technology,cbi,min,0,0,0,0,0,0,0,0,0,613
technology,cbi,max,74,2283,48,2310,3598,693,3598,3598,0,613
ecd,cft,avg,0,0,0,0,3,0,57,3,0,131
ecd,cft,min,0,0,0,0,3,0,0,3,0,131
ecd,cft,max,0,0,0,0,3,0,215,3,0,131
modeling,gmp,avg,119,14,0,49,60,35,162,17,0,245
modeling,gmp,min,1,0,0,0,0,0,0,0,0,245
modeling,gmp,max,311,29,0,160,424,133,1052,55,0,245
iot,om2m,avg,0,0,0,7,1,0,29,0,0,44
iot,om2m,min,0,0,0,6,1,0,0,0,0,44
iot,om2m,max,0,0,0,8,1,0,125,0,0,44
tools,buckminster,avg,79,290,78,235,188,169,176,189,0,1261
tools,buckminster,min,0,0,0,0,0,0,0,0,0,1261
tools,buckminster,max,381,1465,381,838,684,1504,1482,618,0,1261
rt,gemini.blueprint,avg,0,0,0,367,190,309,226,49,0,87
rt,gemini.blueprint,min,0,0,0,0,0,19,0,0,0,87
rt,gemini.blueprint,max,0,0,0,2058,805,1150,1053,160,0,87
rt,gemini.management,avg,0,0,0,173,0,0,74,0,0,49
rt,gemini.management,min,0,0,0,0,0,0,0,0,0,49
rt,gemini.management,max,0,0,0,393,0,0,423,0,0,49
rt,jetty,avg,78,54,122,154,180,156,253,63,0,3770
rt,jetty,min,0,0,0,0,0,0,0,0,0,3770
rt,jetty,max,309,246,1034,1457,898,1034,1836,246,0,3770
technology,mdmweb,avg,3,0,3,0,0,0,21,0,0,28
technology,mdmweb,min,0,0,0,0,0,0,0,0,0,28
technology,mdmweb,max,8,0,8,0,0,0,87,0,0,28
ecd,dirigible,avg,16,24,16,143,3,37,38,0,0,320
ecd,dirigible,min,0,0,0,0,0,0,0,0,0,320
ecd,dirigible,max,31,55,31,558,7,129,80,0,0,320
rt,gemini.web,avg,16,0,13,39,43,28,82,43,0,217
rt,gemini.web,min,0,0,0,1,0,0,0,0,0,217
rt,gemini.web,max,49,0,49,139,138,102,677,138,0,217
technology,skalli,avg,78,20,83,0,50,107,59,0,0,177
technology,skalli,min,0,0,0,0,0,0,0,0,0,177
technology,skalli,max,258,50,258,0,147,482,398,0,0,177
modeling,ocl,avg,1,87,1,77,272,190,286,288,0,1739
modeling,ocl,min,0,0,0,0,0,0,0,0,0,1739
modeling,ocl,max,2,742,2,355,2011,1076,1669,2011,0,1739
modeling,mdt.rmf,avg,191,132,122,0,141,240,309,0,0,347
modeling,mdt.rmf,min,0,0,0,0,0,0,0,0,0,347
modeling,mdt.rmf,max,888,545,545,0,539,1215,1363,0,0,347
technology,dltk,avg,140,153,315,254,268,189,185,256,0,1121
technology,dltk,min,0,0,0,0,0,0,0,0,0,1121
technology,dltk,max,1160,753,1160,869,1564,1328,1564,1564,0,1121
technology,gef3d,avg,2,0,3,0,0,0,211,0,0,120
technology,gef3d,min,0,0,2,0,0,0,0,0,0,120
