domain,project,os,priority,hardware,version,component,severity,assignee,product,status,total
tools,tools,0,0,0,1,1,0,0,1,0,9
technology,app4mc,0,0,0,0,0,1,0,0,0,47
rt,equinox,136,130,69,344,262,541,0,124,0,13046
modeling,m2t,4,84,3,39,28,61,0,12,0,1059
technology,tycho,230,53,233,71,18,158,0,0,0,1060
iot,scada,2,2,1,16,1,6,0,0,0,101
tools,thym,2,0,1,3,0,18,0,0,0,130
tools,mtj,41,64,64,86,81,49,0,1,0,744
modeling,mdht,2,0,2,0,6,0,0,0,0,29
modeling,edapt,1,34,0,3,4,9,0,0,0,125
technology,jubula,97,330,51,31,8,196,0,0,0,2030
technology,usssdk,0,0,0,2,1,2,0,0,0,7
modeling,emf.egf,3,1,3,4,0,5,0,0,0,191
rt,ercp,12,5,4,10,31,25,0,1,0,595
modeling,amalgam,0,0,0,0,0,5,0,0,0,124
iot,tinydtls,0,1,0,0,0,0,0,0,0,7
tools,ajdt,11,53,3,100,29,76,0,25,0,1465
technology,ogee,0,0,0,5,0,3,0,0,0,33
tools,buildship,23,0,20,79,0,40,0,0,0,390
modeling,ecoretools,0,20,0,20,2,16,0,2,0,293
iot,kura,0,0,0,0,0,2,0,0,0,46
modeling,mmt.atl,1,0,0,1,1,8,0,0,0,271
webtools,jsdt,40,23,38,243,278,141,0,245,0,2439
modeling,sirius,136,61,122,44,5,145,0,2,0,1595
technology,epp,66,90,60,163,154,67,0,111,0,1558
technology,hudson,79,12,13,34,33,63,0,4,0,1423
science,chemclipse,1,0,1,0,0,0,0,0,0,22
modeling,ecp,6,738,4,13,3,99,0,0,0,1615
iot,4diac,1,0,1,84,4,3,0,0,0,302
tools,xtend,44,3,39,156,194,283,0,111,0,2297
technology,recommenders,35,27,31,41,24,81,0,2,0,1206
technology,stem,5,5,6,0,6,7,0,1,0,437
eclipse,e4,88,20,68,83,12,89,0,5,0,3478
technology,woolsey,0,2,0,0,1,1,0,0,0,50
tools,tcf,19,21,11,53,120,45,0,117,0,1144
technology,remus,0,0,0,1,0,1,0,0,0,61
modeling,epsilon,3,2,1,15,101,26,0,101,0,535
eclipse,platform,1978,3708,944,2863,1603,4245,0,1224,0,110606
modeling,emft.facet,5,330,4,23,4,64,0,0,0,828
tools,ptp,64,184,24,218,156,110,0,59,0,2732
iot,paho,5,0,5,1,2,2,0,0,0,143
modeling,etrice,0,2,0,10,0,56,0,0,0,541
birt,birt,77,411,21,386,453,652,0,29,0,23056
modeling,mdt.uml2,1,66,1,67,43,70,0,20,0,960
tools,objectteams,1,4,0,17,1,6,0,0,0,664
rt,virgo,22,6,12,79,35,120,0,2,0,1580
iot,mihini,0,51,0,0,0,14,0,0,0,121
technology,uomo,7,10,4,2,0,6,0,0,0,48
eclipse,incubator,0,0,0,1,1,2,0,1,0,48
technology,cbi,13,12,10,8,117,39,0,113,0,613
ecd,cft,0,0,0,0,0,1,0,0,0,131
modeling,gmp,5,32,0,6,12,8,0,4,0,245
iot,om2m,0,0,0,2,0,0,0,0,0,44
tools,buckminster,104,34,97,10,14,50,0,2,0,1261
modeling,umlgen,0,0,0,3,3,13,0,0,0,88
rt,gemini.blueprint,1,0,0,7,3,9,0,1,0,87
rt,gemini.management,0,0,0,7,0,0,0,0,0,49
rt,jetty,42,8,33,136,16,96,0,0,0,3770
technology,mdmweb,5,0,5,0,0,0,0,0,0,28
modeling,emf.diffmerge,0,0,0,0,0,5,0,0,0,152
ecd,dirigible,4,23,2,88,7,39,0,0,0,320
rt,gemini.web,1,1,1,4,45,11,0,45,0,217
technology,skalli,6,7,5,0,0,7,0,0,0,177
