domain,project,value,os,priority,hardware,version,component,severity,assignee,product,status,total
modeling,emfstore,min,0,0,0,0,0,0,0,0,0,528
modeling,emfstore,max,231,794,0,750,0,49,0,0,0,528
rt,riena,avg,58,507,17,18,528,128,0,0,0,998
rt,riena,min,0,0,0,0,0,0,0,0,0,998
rt,riena,max,696,2653,53,64,1053,770,0,0,0,998
technology,flux,avg,0,0,0,0,0,0,0,0,0,61
technology,flux,min,0,0,0,0,0,0,0,0,0,61
technology,flux,max,0,0,0,0,0,0,0,0,0,61
modeling,qvto,avg,17,0,7,280,8,3,0,0,0,967
modeling,qvto,min,0,0,0,0,0,0,0,0,0,967
modeling,qvto,max,37,0,13,981,29,5,0,0,0,967
science,ice,avg,0,20,0,0,69,34,0,69,0,327
science,ice,min,0,0,0,0,69,0,0,69,0,327
science,ice,max,0,39,0,0,69,62,0,69,0,327
tools,windowbuilder,avg,43,77,26,0,0,25,0,0,0,501
tools,windowbuilder,min,0,0,0,0,0,0,0,0,0,501
tools,windowbuilder,max,149,154,126,0,0,154,0,0,0,501
modeling,qvtd,avg,0,0,0,0,682,0,0,0,0,262
modeling,qvtd,min,0,0,0,0,0,0,0,0,0,262
modeling,qvtd,max,0,0,0,0,2486,0,0,0,0,262
modeling,tmf,avg,333,229,344,244,602,194,0,73,0,5272
modeling,tmf,min,0,0,0,0,0,0,0,0,0,5272
modeling,tmf,max,2343,897,2343,1170,2020,1248,0,229,0,5272
tools,andmore,avg,0,0,0,8,0,0,0,0,0,114
tools,andmore,min,0,0,0,0,0,0,0,0,0,114
tools,andmore,max,0,0,0,15,0,0,0,0,0,114
soa,jwt,avg,128,95,140,321,169,156,0,0,0,408
soa,jwt,min,0,0,0,0,2,0,0,0,0,408
soa,jwt,max,491,421,491,1240,491,472,0,0,0,408
modeling,mmt,avg,0,10,0,0,0,311,0,0,0,42
modeling,mmt,min,0,0,0,0,0,0,0,0,0,42
modeling,mmt,max,0,29,0,0,0,891,0,0,0,42
tools,mat,avg,43,0,43,329,1,288,0,0,0,461
tools,mat,min,0,0,0,0,0,0,0,0,0,461
tools,mat,max,166,0,166,756,2,1129,0,0,0,461
modeling,papyrus,avg,488,185,499,414,558,395,0,83,0,9634
modeling,papyrus,min,0,0,0,0,0,0,0,0,0,9634
modeling,papyrus,max,1573,1474,1573,1964,1958,1483,0,252,0,9634
soa,mangrove,avg,0,0,0,0,1535,0,0,1535,0,13
soa,mangrove,min,0,0,0,0,1495,0,0,1495,0,13
soa,mangrove,max,0,0,0,0,1574,0,0,1574,0,13
modeling,mdt.xsd,avg,490,595,0,7,7,9,0,7,0,404
modeling,mdt.xsd,min,490,0,0,0,0,0,0,0,0,404
modeling,mdt.xsd,max,490,1880,0,23,23,27,0,23,0,404
rt,eclipselink,avg,152,298,170,210,111,502,0,0,0,7952
rt,eclipselink,min,0,0,0,0,0,0,0,0,0,7952
rt,eclipselink,max,636,2367,636,1650,596,2501,0,0,0,7952
technology,xwt,avg,0,0,0,990,1008,1,0,1008,0,352
technology,xwt,min,0,0,0,0,98,0,0,98,0,352
technology,xwt,max,0,0,0,1407,1441,2,0,1441,0,352
modeling,viatra,avg,19,50,0,232,1156,44,0,1460,0,1037
