domain,project,value,os,priority,hardware,version,component,severity,assignee,product,status,total
modeling,eatop,max,0,0,0,0,124,0,0,0,0,34
webtools,wtpwebservices,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpwebservices,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpwebservices,max,0,0,0,0,0,0,0,0,0,0
rt,smila,avg,168,176,170,144,465,116,0,0,0,216
rt,smila,min,0,0,0,0,0,0,0,0,0,216
rt,smila,max,340,347,340,340,1168,347,0,0,0,216
modeling,emft.doc2model,avg,0,0,0,0,0,0,0,0,0,1
modeling,emft.doc2model,min,0,0,0,0,0,0,0,0,0,1
modeling,emft.doc2model,max,0,0,0,0,0,0,0,0,0,1
modeling,efm,avg,0,0,0,0,21,56,0,0,0,23
modeling,efm,min,0,0,0,0,21,56,0,0,0,23
modeling,efm,max,0,0,0,0,21,56,0,0,0,23
webtools,javaeeconfig,avg,0,0,0,0,0,0,0,0,0,0
webtools,javaeeconfig,min,0,0,0,0,0,0,0,0,0,0
webtools,javaeeconfig,max,0,0,0,0,0,0,0,0,0,0
webtools,wtpservertools,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpservertools,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpservertools,max,0,0,0,0,0,0,0,0,0,0
technology,subversive,avg,82,204,104,270,548,78,0,7,0,2591
technology,subversive,min,0,0,0,0,0,0,0,0,0,2591
technology,subversive,max,308,611,308,2532,2532,689,0,21,0,2591
rt,gemini,avg,0,0,0,0,0,0,0,0,0,5
rt,gemini,min,0,0,0,0,0,0,0,0,0,5
rt,gemini,max,0,0,0,0,0,0,0,0,0,5
webtools,wtpsourceediting,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpsourceediting,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpsourceediting,max,0,0,0,0,0,0,0,0,0,0
technology,rcptt,avg,0,8,0,87,20,14,0,0,0,254
technology,rcptt,min,0,1,0,0,0,0,0,0,0,254
technology,rcptt,max,0,14,0,209,38,49,0,0,0,254
modeling,mdt,avg,0,18,0,36,10,80,0,11,0,114
modeling,mdt,min,0,0,0,0,0,0,0,0,0,114
modeling,mdt,max,0,41,0,115,28,196,0,28,0,114
soa,soaplatform,avg,0,0,0,0,0,0,0,0,0,0
soa,soaplatform,min,0,0,0,0,0,0,0,0,0,0
soa,soaplatform,max,0,0,0,0,0,0,0,0,0,0
rt,ebr,avg,0,0,0,0,0,0,0,0,0,6
rt,ebr,min,0,0,0,0,0,0,0,0,0,6
rt,ebr,max,0,0,0,0,0,0,0,0,0,6
technology,vtp,avg,37,0,37,53,3,79,0,0,0,259
technology,vtp,min,0,0,0,0,0,0,0,0,0,259
technology,vtp,max,106,0,106,106,5,203,0,0,0,259
rt,gyrex,avg,60,0,64,265,0,203,0,0,0,157
rt,gyrex,min,16,0,16,6,0,0,0,0,0,157
rt,gyrex,max,121,0,121,567,0,1375,0,0,0,157
modeling,amp,avg,328,982,4,104,0,814,0,0,0,171
modeling,amp,min,0,0,0,0,0,0,0,0,0,171
modeling,amp,max,1302,1869,10,526,0,1533,0,0,0,171
modeling,papyrusrt,avg,0,0,0,0,0,0,0,0,0,0
modeling,papyrusrt,min,0,0,0,0,0,0,0,0,0,0
modeling,papyrusrt,max,0,0,0,0,0,0,0,0,0,0
webtools,wtpcommontools,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpcommontools,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpcommontools,max,0,0,0,0,0,0,0,0,0,0
modeling,eef,avg,5,0,5,1755,1685,158,0,1685,0,330
modeling,eef,min,0,0,0,0,15,0,0,15,0,330
modeling,eef,max,13,0,13,2381,2547,627,0,2547,0,330
modeling,capra,avg,0,0,0,0,19,0,0,0,0,46
modeling,capra,min,0,0,0,0,0,0,0,0,0,46
modeling,capra,max,0,0,0,0,35,0,0,0,0,46
tools,titan,avg,0,0,0,0,31,0,0,0,0,183
tools,titan,min,0,0,0,0,31,0,0,0,0,183
tools,titan,max,0,0,0,0,31,0,0,0,0,183
technology,sapphire,avg,22,0,22,21,3,29,0,0,0,1189
technology,sapphire,min,0,0,0,0,0,0,0,0,0,1189
technology,sapphire,max,96,0,96,90,7,106,0,0,0,1189
tools,gef,avg,972,115,1136,84,2256,163,0,108,0,2950
tools,gef,min,0,0,0,0,0,0,0,0,0,2950
tools,gef,max,2337,674,2337,386,4599,1267,0,393,0,2950
tools,oomph,avg,10,37,12,251,58,69,0,65,0,1438
tools,oomph,min,0,0,0,0,0,0,0,0,0,1438
tools,oomph,max,31,109,31,758,108,498,0,108,0,1438
rt,ecf,avg,113,9,124,156,147,323,0,14,0,1944
rt,ecf,min,0,0,0,0,0,0,0,0,0,1944
rt,ecf,max,1192,29,1192,874,728,1950,0,26,0,1944
technology,scanning,avg,0,0,0,0,0,0,0,0,0,0
technology,scanning,min,0,0,0,0,0,0,0,0,0,0
technology,scanning,max,0,0,0,0,0,0,0,0,0,0
technology,nebula.incubator,avg,0,0,0,0,0,0,0,0,0,1
technology,nebula.incubator,min,0,0,0,0,0,0,0,0,0,1
technology,nebula.incubator,max,0,0,0,0,0,0,0,0,0,1
foundation,z_archived,avg,0,0,0,0,0,0,0,0,0,0
foundation,z_archived,min,0,0,0,0,0,0,0,0,0,0
foundation,z_archived,max,0,0,0,0,0,0,0,0,0,0
rt,gemini.dbaccess,avg,0,0,0,294,0,0,0,0,0,19
rt,gemini.dbaccess,min,0,0,0,292,0,0,0,0,0,19
rt,gemini.dbaccess,max,0,0,0,296,0,0,0,0,0,19
science,dawnsci,avg,0,0,0,0,0,0,0,0,0,1
science,dawnsci,min,0,0,0,0,0,0,0,0,0,1
science,dawnsci,max,0,0,0,0,0,0,0,0,0,1
ecd,che,avg,0,0,0,0,0,0,0,0,0,22
ecd,che,min,0,0,0,0,0,0,0,0,0,22
ecd,che,max,0,0,0,0,0,0,0,0,0,22
iot,kapua,avg,0,0,0,0,0,0,0,0,0,1
iot,kapua,min,0,0,0,0,0,0,0,0,0,1
iot,kapua,max,0,0,0,0,0,0,0,0,0,1
iot,unide,avg,0,0,0,0,0,0,0,0,0,0
iot,unide,min,0,0,0,0,0,0,0,0,0,0
iot,unide,max,0,0,0,0,0,0,0,0,0,0
soa,ebpm,avg,0,0,0,0,0,0,0,0,0,2
soa,ebpm,min,0,0,0,0,0,0,0,0,0,2
soa,ebpm,max,0,0,0,0,0,0,0,0,0,2
tools,linuxtools,avg,0,0,0,0,0,0,0,0,0,0
tools,linuxtools,min,0,0,0,0,0,0,0,0,0,0
tools,linuxtools,max,0,0,0,0,0,0,0,0,0,0
eclipse,jdt,avg,703,560,871,205,201,408,0,107,0,55279
eclipse,jdt,min,0,0,0,0,0,0,0,0,0,55279
eclipse,jdt,max,3485,4097,3485,2484,2305,4095,0,1421,0,55279
technology,handly,avg,0,0,1,0,0,0,0,0,0,142
technology,handly,min,0,0,1,0,0,0,0,0,0,142
technology,handly,max,0,0,1,0,0,0,0,0,0,142
technology,recommenders.incubator,avg,3,3,3,37,837,3,0,837,0,225
technology,recommenders.incubator,min,0,0,0,0,837,0,0,837,0,225
technology,recommenders.incubator,max,5,5,5,127,837,5,0,837,0,225
mylyn,mylyn,avg,147,250,66,205,194,245,0,70,0,8422
mylyn,mylyn,min,0,0,0,0,0,0,0,0,0,8422
mylyn,mylyn,max,613,1850,351,720,1318,1679,0,242,0,8422
mylyn,mylyndocs,avg,0,0,0,0,0,0,0,0,0,0
