modeling-graphiti
Total,598
field,avg,min,max
status,730,0,4100
priority,206,0,1784
os,362,0,2592
version,369,0,4100
hardware,448,0,2592
resolution,735,0,4100
component,528,0,4100
severity,392,0,2500
product,459,0,4100
assignee,602,0,4100

tools-thym
Total,130
field,avg,min,max
status,124,0,533
os,3,0,6
hardware,3,0,6
version,175,0,514
resolution,123,0,533
severity,211,0,564
component,257,0,514
product,257,0,514
assignee,110,0,514

tools-mtj
Total,744
field,avg,min,max
status,198,0,838
priority,81,0,412
os,67,0,678
hardware,63,0,678
version,71,0,280
resolution,166,0,1061
component,81,0,677
severity,71,0,405
assignee,151,0,1110
product,157,0,470

mylyn-mylyncontextmft
Total,0

modeling-edapt
Total,125
field,avg,min,max
status,266,0,1563
priority,383,0,1214
os,0,0,0
version,472,0,1011
hardware,0,0,0
resolution,292,0,1563
component,428,0,1310
severity,441,0,1065
assignee,309,0,1367
product,203,0,600

iot-hawkbit
Total,0

modeling-fmc
Total,9
field,avg,min,max
status,72,72,72
resolution,72,72,72

modeling-amalgam
Total,124
field,avg,min,max
product,55,0,284
status,246,0,1623
resolution,253,0,1623
severity,45,0,176
component,98,0,446
assignee,105,0,446
version,71,0,284

iot-ponte
Total,4
field,avg,min,max
status,7,7,7
resolution,7,7,7

iot-tinydtls
Total,7
field,avg,min,max
status,34,2,96
resolution,15,2,28
priority,12,12,12
assignee,54,54,54

tools-ajdt
Total,1465
field,avg,min,max
status,432,0,2405
priority,636,0,2405
os,277,0,524
version,137,0,1376
hardware,37,0,74
resolution,432,0,2405
component,125,0,1376
severity,237,0,1069
assignee,310,0,2086
product,110,0,1376

mylyn-mylyncontext
Total,0

technology-ogee
Total,33
field,avg,min,max
product,0,0,0
status,70,0,236
resolution,72,0,236
severity,179,0,358
component,0,0,0
assignee,7,0,20
version,50,0,191

tools-buildship
Total,390
field,avg,min,max
status,214,0,655
os,195,0,490
priority,35,6,53
hardware,209,0,490
version,44,0,100
resolution,195,0,655
severity,176,0,490
component,23,0,67
product,23,0,67
assignee,79,0,470

iot-kura
Total,46
field,avg,min,max
status,115,0,393
resolution,124,0,393
severity,22,0,43
assignee,16,1,44

modeling-mmt.atl
Total,271
field,avg,min,max
status,202,0,1056
os,50,16,87
version,64,0,161
resolution,209,0,1056
severity,234,0,729
component,185,0,877
product,12,0,23
assignee,179,0,768

modeling-sirius
Total,1595
field,avg,min,max
status,259,0,1052
priority,145,0,548
os,106,0,737
version,36,0,200
hardware,104,0,737
resolution,186,0,844
severity,238,0,1004
component,84,0,846
assignee,198,0,1052
product,35,0,98

technology-packagedrone
Total,0

technology-hudson
Total,1423
field,avg,min,max
status,288,0,1332
os,483,0,1013
priority,119,0,305
version,109,0,553
hardware,189,0,742
resolution,298,0,1332
severity,163,0,917
component,258,0,1626
assignee,173,0,824
product,536,0,1626

mylyn-mylynbuilds
Total,0

science-chemclipse
Total,22
field,avg,min,max
status,55,0,182
resolution,29,0,101
os,0,0,0
hardware,17,17,17

technology-camf
Total,12
field,avg,min,max
status,79,0,233
resolution,79,0,233
component,0,0,0
severity,0,0,0
assignee,0,0,0

modeling-gmfnotation
Total,0

tools-xtend
Total,2297
field,avg,min,max
status,456,0,1975
priority,230,7,541
os,136,0,1001
version,156,0,1407
hardware,153,0,1001
resolution,419,0,1975
component,187,0,1001
severity,182,0,911
assignee,277,0,1975
product,113,0,566

technology-stem
Total,437
field,avg,min,max
status,446,0,1680
os,310,0,981
priority,223,0,1061
hardware,323,0,981
version,0,0,0
resolution,416,0,1680
severity,90,0,419
component,507,0,999
assignee,440,0,1348
product,1,0,3

tools-targetmanagement
Total,0

technology-woolsey
Total,50
field,avg,min,max
status,158,0,896
severity,0,0,0
priority,161,0,419
resolution,158,0,896
component,419,218,546
assignee,520,493,546
product,520,493,546

tools-tcf
Total,1144
field,avg,min,max
status,187,0,1329
os,47,0,328
priority,10,0,41
version,561,0,1169
hardware,16,0,84
resolution,192,0,1329
component,604,0,1271
severity,26,0,88
assignee,142,0,978
product,653,0,1271

modeling-emft.facet
Total,828
field,avg,min,max
status,319,0,1532
priority,319,0,1521
os,46,0,637
version,100,0,946
hardware,46,0,637
resolution,265,0,1346
severity,107,0,442
component,340,0,1461
assignee,278,0,1521
product,151,0,724

webtools-wtpreleng
Total,0

iot-paho
Total,143
field,avg,min,max
status,160,0,990
os,71,0,206
hardware,71,0,206
version,8,0,16
resolution,165,0,990
severity,15,0,29
component,70,2,219
assignee,111,0,421

technology-sw360
Total,0

webtools-wtpejbtools
Total,0

modeling-etrice
Total,541
field,avg,min,max
status,215,0,2005
priority,251,0,501
resolution,209,0,2005
severity,553,0,1588
component,14,0,33
assignee,169,0,1067
version,54,0,273

mylyn-mylyndocsvex
Total,0

iot-mihini
Total,121
field,avg,min,max
status,443,0,1049
priority,58,0,173
resolution,482,0,1049
severity,22,0,63
assignee,32,0,135

technology-collections
Total,0

technology-cbi
Total,613
field,avg,min,max
status,433,0,2876
priority,286,0,2283
os,18,0,74
version,307,0,2310
hardware,12,0,48
resolution,440,0,2876
component,1313,0,3598
severity,194,0,693
assignee,833,0,3598
product,1487,0,3598

ecd-cft
Total,131
field,avg,min,max
status,68,0,376
resolution,66,0,376
severity,0,0,0
component,3,3,3
assignee,57,0,215
product,3,3,3

modeling-gmp
Total,245
field,avg,min,max
status,365,0,2333
os,119,1,311
priority,14,0,29
version,49,0,160
resolution,368,0,2333
severity,35,0,133
component,60,0,424
assignee,162,0,1052
product,17,0,55

iot-om2m
Total,44
field,avg,min,max
version,7,6,8
status,42,0,128
resolution,33,0,128
severity,0,0,0
component,1,1,1
assignee,29,0,125
hardware,0,0,0

tools-buckminster
Total,1261
field,avg,min,max
status,346,0,3367
priority,290,0,1465
os,79,0,381
hardware,78,0,381
version,235,0,838
resolution,338,0,3367
severity,169,0,1504
component,188,0,684
assignee,176,0,1482
product,189,0,618

rt-gemini.blueprint
Total,87
field,avg,min,max
status,432,0,2089
os,0,0,0
version,367,0,2058
resolution,420,0,2089
component,190,0,805
severity,309,19,1150
product,49,0,160
assignee,226,0,1053

rt-gemini.management
Total,49
field,avg,min,max
status,73,0,429
severity,0,0,0
resolution,53,0,429
product,0,0,0
component,0,0,0
assignee,74,0,423
version,173,0,393

rt-jetty
Total,3770
field,avg,min,max
status,465,0,2303
os,78,0,309
priority,54,0,246
version,154,0,1457
hardware,122,0,1034
resolution,459,0,2303
component,180,0,898
severity,156,0,1034
assignee,253,0,1836
product,63,0,246

technology-mdmweb
Total,28
field,avg,min,max
status,120,0,708
resolution,155,0,708
os,3,0,8
assignee,21,0,87
hardware,3,0,8

ecd-dirigible
Total,320
field,avg,min,max
status,98,0,421
os,16,0,31
priority,24,0,55
version,143,0,558
hardware,16,0,31
resolution,96,0,421
component,3,0,7
severity,37,0,129
assignee,38,0,80

rt-gemini.web
Total,217
field,avg,min,max
status,113,0,677
os,16,0,49
priority,0,0,0
version,39,1,139
hardware,13,0,49
resolution,97,0,677
severity,28,0,102
component,43,0,138
assignee,82,0,677
product,43,0,138

technology-skalli
Total,177
field,avg,min,max
status,83,0,501
os,78,0,258
priority,20,0,50
hardware,83,0,258
resolution,86,0,501
severity,107,0,482
component,50,0,147
assignee,59,0,398

modeling-ocl
Total,1739
field,avg,min,max
status,754,0,2958
priority,87,0,742
os,1,0,2
version,77,0,355
hardware,1,0,2
resolution,410,0,2958
severity,190,0,1076
component,272,0,2011
assignee,286,0,1669
product,288,0,2011

modeling-mdt.rmf
Total,347
field,avg,min,max
status,282,0,1368
os,191,0,888
priority,132,0,545
hardware,122,0,545
resolution,283,0,1368
severity,240,0,1215
component,141,0,539
assignee,309,0,1363

technology-dltk
Total,1121
field,avg,min,max
status,362,0,3326
priority,153,0,753
os,140,0,1160
version,254,0,869
hardware,315,0,1160
resolution,373,0,3326
component,268,0,1564
severity,189,0,1328
assignee,185,0,1564
product,256,0,1564

technology-gef3d
Total,120
field,avg,min,max
status,142,0,761
priority,0,0,0
os,2,0,3
hardware,3,2,3
version,0,0,0
resolution,142,0,761
component,0,0,0
severity,0,0,0
assignee,211,0,761
product,0,0,0

iot-whiskers
Total,0

science-statet
Total,0

soa-stardust
Total,538
field,avg,min,max
status,158,0,1175
os,0,0,0
version,83,0,475
hardware,0,0,0
resolution,157,0,1175
severity,81,0,162
component,85,0,475
assignee,161,0,1049

technology-m2ewtp
Total,0

tools-damos
Total,6

mylyn-mylynversions
Total,0

technology-lsp4j
Total,1
field,avg,min,max
status,41,41,41
resolution,41,41,41
component,21,21,21
product,21,21,21
assignee,21,21,21

eclipse-pde
Total,15737
field,avg,min,max
status,890,0,4266
priority,205,0,2996
os,433,0,2590
version,204,0,1156
hardware,414,0,2489
resolution,913,0,4266
component,368,0,5349
severity,386,0,2461
assignee,729,0,4886
product,336,0,5349

technology-lsp4e
Total,60
field,avg,min,max
status,25,0,83
priority,32,0,63
os,3,0,6
hardware,3,0,6
resolution,25,0,83
severity,3,0,9
component,5,1,8
assignee,20,0,57

rt-rap
Total,5011
field,avg,min,max
status,542,0,2812
priority,290,0,1590
os,147,0,1261
version,137,0,1486
hardware,195,0,1261
resolution,531,0,2812
severity,261,0,1456
component,305,0,1974
assignee,226,0,1974
product,63,0,269

modeling-mdt.bpmn2
Total,62
field,avg,min,max
status,135,0,659
resolution,135,0,659
severity,0,0,0
assignee,54,0,248
version,0,0,0

technology-openkplatform
Total,0

rt-gemini.naming
Total,26
field,avg,min,max
assignee,104,0,342
status,146,0,654
resolution,147,0,654
component,126,51,234
severity,111,0,304
product,126,51,234
version,1,1,1

technology-lyo
Total,881
field,avg,min,max
status,534,0,1284
os,97,0,368
priority,34,0,88
version,141,0,833
hardware,97,0,368
resolution,235,0,1250
severity,177,0,751
component,16,0,45
assignee,216,0,958

modeling-emft
Total,604
field,avg,min,max
status,357,0,2836
os,93,0,289
priority,225,0,1081
version,182,0,624
hardware,1,0,1
resolution,340,0,2836
component,108,0,779
severity,136,0,795
product,122,0,779
assignee,119,0,907

tools-ldt
Total,381
field,avg,min,max
status,187,0,1001
priority,208,0,1014
os,45,0,214
version,334,0,1014
hardware,2,0,5
resolution,191,0,1035
severity,129,0,778
component,239,0,1029
product,340,0,1029
assignee,144,0,1029

technology-tm4e
Total,1
field,avg,min,max
status,109,109,109
os,109,109,109
version,205,58,351
hardware,109,109,109
component,205,58,351
severity,57,57,57
assignee,205,58,351
product,205,58,351

modeling-emfcompare
Total,1095
field,avg,min,max
status,513,0,2207
priority,110,0,609
os,8,0,22
version,466,0,2042
hardware,86,0,402
resolution,370,0,2144
component,528,0,2070
severity,140,0,1184
assignee,105,0,798
product,31,0,187

modeling-qvto
Total,967
field,avg,min,max
status,460,0,2146
os,17,0,37
priority,0,0,0
version,163,0,981
hardware,7,0,13
resolution,472,0,2146
severity,32,0,140
component,76,0,357
assignee,204,0,1566
product,100,0,357

science-ice
Total,327
field,avg,min,max
status,59,0,376
os,38,0,109
priority,20,0,39
hardware,38,0,109
resolution,58,0,376
component,35,0,69
severity,44,0,74
assignee,37,0,134
product,69,69,69

tools-windowbuilder
Total,501
field,avg,min,max
status,169,0,1133
priority,120,0,388
os,58,0,278
hardware,72,0,361
version,5,0,17
resolution,156,0,1133
component,12,0,51
severity,39,0,252
assignee,135,0,1094
product,12,0,51

tools-pdt.incubator
Total,1
field,avg,min,max
status,15,15,15
resolution,15,15,15

modeling-qvtd
Total,262
field,avg,min,max
version,0,0,0
status,590,0,2191
resolution,305,0,1510
component,685,0,2486
severity,0,0,0
assignee,340,0,1250
product,37,0,109

science-eavp
Total,4
field,avg,min,max
status,12,0,24
resolution,12,0,24
assignee,0,0,0

modeling-tmf
Total,5272
field,avg,min,max
status,650,0,2609
priority,289,0,1533
os,368,0,2343
version,262,0,1533
hardware,377,0,2343
resolution,632,0,2609
severity,207,0,1248
component,556,0,2143
assignee,403,0,2252
product,161,0,908

webtools-javaserverfaces
Total,0

modeling-mmt
Total,42
field,avg,min,max
status,522,0,1673
resolution,196,0,1673
severity,311,0,891
priority,10,0,29
assignee,322,0,1594

soa-mangrove
Total,13
field,avg,min,max
version,854,854,854
status,835,0,2778
resolution,835,0,2778
component,1720,854,2778
severity,0,0,0
product,1720,854,2778
assignee,1454,24,2778

technology-mbeddr
Total,0

iot-ditto
Total,0

technology-egit
Total,4085
field,avg,min,max
status,548,0,2238
os,283,0,2033
priority,95,0,284
version,245,0,2033
hardware,277,0,2033
resolution,549,0,2238
severity,240,0,1953
component,430,0,1975
assignee,332,0,2034
product,170,0,1399

technology-eclemma
Total,20
field,avg,min,max
status,20,0,49
resolution,18,0,49
os,1,0,2
severity,1,1,1
assignee,22,0,66
hardware,1,0,2

technology-mdmbl
Total,2
field,avg,min,max
component,32,32,32
assignee,32,32,32
product,32,32,32

soa-bpmn2modeler
Total,705
field,avg,min,max
status,341,0,1850
priority,338,0,1384
os,0,0,0
version,337,0,1418
resolution,239,0,1418
severity,139,0,1384
component,18,0,61
assignee,61,0,245
product,3,0,8

technology-omr
Total,0

iot-krikkit
Total,6
field,avg,min,max
status,15,1,36
resolution,15,1,36

technology-nattable
Total,743
field,avg,min,max
status,296,0,1420
os,84,0,183
priority,55,55,55
version,45,0,213
hardware,92,0,183
resolution,207,0,1278
severity,116,0,366
component,34,0,73
assignee,198,0,964
product,29,0,58

technology-n4js
Total,0

mylyn-mylyntasks
Total,0

technology-jgit
Total,991
field,avg,min,max
status,339,0,2009
os,270,0,1625
priority,106,0,290
version,239,0,1625
hardware,263,0,1625
resolution,341,0,2009
severity,133,0,864
component,227,0,1625
assignee,217,0,1625
product,230,0,1625

webtools-libra
Total,152
field,avg,min,max
status,354,0,2272
os,2007,2007,2007
priority,0,0,0
version,121,0,369
hardware,2007,2007,2007
resolution,352,0,2272
severity,35,0,184
component,172,0,2007
assignee,216,0,2005
product,131,0,369

modeling-gendoc
Total,106
field,avg,min,max
status,132,0,722
resolution,110,0,621
severity,70,0,174
component,1,0,1
assignee,116,0,722
version,9,0,23

modeling-emf
Total,8029
field,avg,min,max
status,817,0,3104
priority,477,0,2223
os,251,0,2115
hardware,237,0,2115
version,1253,0,4153
resolution,684,0,3104
component,1356,0,4169
severity,193,0,3417
assignee,724,0,3899
product,2855,0,4169

modeling-papyrusxtuml
Total,0

tools-cdt
Total,19331
field,avg,min,max
status,987,0,5144
priority,180,0,2775
os,414,0,2766
version,446,0,2557
hardware,463,0,2766
resolution,960,0,5144
component,1046,0,4526
severity,299,0,3161
assignee,762,0,4526
product,403,0,2315

iot-ignite
Total,0

technology-rtp
Total,77
field,avg,min,max
hardware,0,0,0
status,93,0,314
resolution,96,0,314
priority,0,0,0
component,2,0,4
assignee,176,0,1259
product,0,0,0

modeling-emft.b3
Total,140
field,avg,min,max
status,95,0,435
priority,33,0,69
