modeling-graphiti
Total,1121
refieldnum, count
1,50
2,266
3,318
4,284

technology-gef3d
Total,120
refieldnum, count
1,1
2,51
3,18
4,7

iot-whiskers
Total,0

science-statet
Total,0

soa-stardust
Total,538
refieldnum, count
1,21
2,213
3,181
4,75

technology-m2ewtp
Total,0

tools-damos
Total,6

mylyn-mylynversions
Total,0

technology-lsp4j
Total,1
refieldnum, count
4,1

eclipse-pde
Total,15737
refieldnum, count
1,353
2,5635
3,5164
4,3192

technology-lsp4e
Total,60
refieldnum, count
1,9
2,4
3,21
4,12

rt-rap
Total,5011
refieldnum, count
1,195
2,2763
3,1041
4,846

modeling-mdt.bpmn2
Total,62
refieldnum, count
2,22
3,12
4,1

technology-openkplatform
Total,0

rt-gemini.naming
Total,26
refieldnum, count
2,5
3,12
4,7

technology-lyo
Total,881
refieldnum, count
1,15
2,212
3,488
4,123

modeling-emft
Total,604
refieldnum, count
1,17
2,281
3,126
4,65

tools-ldt
Total,381
refieldnum, count
1,11
2,119
3,141
4,101

technology-tm4e
Total,1
refieldnum, count
4,1

modeling-emfcompare
Total,1095
refieldnum, count
1,18
2,694
3,238
4,68

modeling-qvto
Total,967
refieldnum, count
1,34
2,605
3,152
4,21

science-ice
Total,327
refieldnum, count
1,21
2,164
3,37
4,10

tools-windowbuilder
Total,501
refieldnum, count
1,23
2,198
3,114
4,120

tools-pdt.incubator
Total,1
refieldnum, count
2,1

modeling-qvtd
Total,262
refieldnum, count
1,21
2,70
3,74
4,6

science-eavp
Total,4
refieldnum, count
3,2

modeling-tmf
Total,5272
refieldnum, count
1,145
2,3003
3,1043
4,361

webtools-javaserverfaces
Total,0

modeling-mmt
Total,42
refieldnum, count
2,5
3,37

soa-mangrove
Total,13
refieldnum, count
2,6
4,4

technology-mbeddr
Total,0

iot-ditto
Total,0

technology-egit
Total,4085
refieldnum, count
1,148
2,1619
3,935
4,466

technology-eclemma
Total,20
refieldnum, count
2,2
3,13
4,3

technology-mdmbl
Total,2
refieldnum, count
3,1

soa-bpmn2modeler
Total,705
refieldnum, count
1,8
2,554
3,72
4,13

technology-omr
Total,0

iot-krikkit
Total,6
refieldnum, count
2,4

technology-nattable
Total,743
refieldnum, count
1,8
2,189
3,441
4,71

technology-n4js
Total,0

mylyn-mylyntasks
Total,0

technology-jgit
Total,991
refieldnum, count
1,62
2,334
3,202
4,165

webtools-libra
Total,152
refieldnum, count
1,3
2,34
3,37
4,57

modeling-gendoc
Total,106
refieldnum, count
1,7
2,47
3,28

modeling-emf
Total,8029
refieldnum, count
1,203
2,3810
3,1540
4,2281

modeling-papyrusxtuml
Total,0

tools-cdt
Total,19331
refieldnum, count
1,744
2,4825
3,6849
4,4380

iot-ignite
Total,0

technology-rtp
Total,77
refieldnum, count
1,3
2,46
3,18
4,2

modeling-emft.b3
Total,140
refieldnum, count
1,12
2,71
3,15
4,9

rt-gemini.jpa
Total,126
refieldnum, count
1,3
2,72
3,19
4,12

technology-sisu
Total,130
refieldnum, count
1,9
2,15
3,65
4,27

tools-orbit
Total,1033
refieldnum, count
1,36
2,297
3,496
4,121

technology-scout
Total,1912
refieldnum, count
1,31
2,518
3,863
4,318

science-richbeans
Total,0

technology-babel
Total,653
refieldnum, count
1,11
2,363
3,139
4,84

technology-osbp
Total,0

technology-mpc
Total,596
refieldnum, count
1,4
2,290
3,105
4,145

technology-efxclipse
Total,1092
refieldnum, count
1,20
2,725
3,113
4,12

tools-tracecompass
Total,500
refieldnum, count
1,13
2,113
3,170
4,51

technology-epf
Total,3064
refieldnum, count
1,91
2,484
3,1576
4,755

iot-agail
Total,0

rt-apricot
Total,14
refieldnum, count
2,10
4,1

technology-osee
Total,355
refieldnum, count
1,15
2,31
3,114
4,154

modeling-emf.parsley
Total,142
refieldnum, count
2,57
3,69
4,6

tools-atf
Total,493
refieldnum, count
1,24
2,255
3,109
4,34

tools-aspectj
Total,2884
refieldnum, count
1,120
2,1360
3,532
4,461

modeling-modeling
Total,217
refieldnum, count
1,9
2,123
3,30
4,30

modeling-emft.refactor
Total,20
refieldnum, count
1,5
2,3
3,1
4,1

technology-dash
Total,199
refieldnum, count
1,1
2,90
3,36
4,23

technology-swtbot
Total,524
refieldnum, count
1,12
2,163
3,127
4,120

webtools-wtpwebsite
Total,0

foundation-workinggroups
Total,0

tools-tools
Total,9
refieldnum, count
2,3
3,4
4,1

technology-app4mc
Total,47
refieldnum, count
2,10
3,32
4,5

modeling-m2t
Total,1059
refieldnum, count
1,37
2,470
3,305
4,136

technology-tycho
Total,1060
refieldnum, count
1,29
2,255
3,307
4,345

iot-scada
Total,101
refieldnum, count
1,7
2,32
3,35
4,11

modeling-emft.js4emf
Total,0

modeling-mdht
Total,29
refieldnum, count
1,4
2,4
3,7
4,2

soa-score
Total,1

technology-jubula
Total,2030
refieldnum, count
1,22
2,695
3,679
4,487

technology-usssdk
Total,7
refieldnum, count
3,2
4,4

modeling-emf.egf
Total,191
refieldnum, count
1,24
2,103
3,48
4,3

mylyn-mylynreviewsr4e
Total,0

rt-ercp
Total,595
refieldnum, count
1,11
2,366
3,143
4,37

webtools-webtools
Total,0

technology-microprofile
Total,3

iot-milo
Total,0

modeling-ecoretools
Total,293
refieldnum, count
1,11
2,138
3,66
4,54

webtools-jsdt
Total,2439
refieldnum, count
1,79
2,337
3,560
4,1207

technology-epp
Total,1558
refieldnum, count
1,27
2,597
3,250
4,485

webtools-wtpjavaeetools
Total,0

modeling-ecp
Total,1615
refieldnum, count
1,104
2,368
3,601
4,521

iot-4diac
Total,302
refieldnum, count
1,29
2,125
3,76
4,6

mylyn-mylynreviews
Total,0

modeling-gmfruntime
Total,0

technology-recommenders
Total,1206
refieldnum, count
1,30
2,388
3,470
4,200

eclipse-e4
Total,3478
refieldnum, count
1,82
2,1344
3,1176
4,404

technology-remus
Total,61
refieldnum, count
1,1
2,43
3,3

modeling-epsilon
Total,535
refieldnum, count
1,24
2,133
3,86
4,237

eclipse-platform
Total,108813
refieldnum, count
1,5157
2,29541
3,37864
4,31904

technology-reddeer
Total,0

tools-ptp
Total,2732
refieldnum, count
1,68
2,763
3,1124
4,581

iot-paho.incubator
Total,0

science-triquetrum
Total,1
refieldnum, count
3,1

modeling-emfservices
Total,0

birt-birt
Total,22409
refieldnum, count
1,291
2,3583
3,10863
4,7041

modeling-upr
Total,3
refieldnum, count
1,1
2,1

modeling-mdt.uml2
Total,960
refieldnum, count
1,8
2,272
3,249
4,408

tools-objectteams
Total,664
refieldnum, count
1,20
2,92
3,452
4,60

technology-simopenpass
Total,0

rt-virgo
Total,1580
refieldnum, count
1,43
2,379
3,782
4,227

technology-uomo
Total,48
refieldnum, count
1,7
2,21
3,12
4,4

eclipse-incubator
Total,48
refieldnum, count
1,5
2,11
3,14
4,3

technology-sensinact
Total,0

modeling-umlgen
Total,88
refieldnum, count
1,10
2,50
3,20
4,1

modeling-emf.diffmerge
Total,152
refieldnum, count
1,5
2,108
3,28

